"SAINT JOSEPH MO - BARTLET - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.1375,-0.22,-0.2375,-0.0825,-0.2025,-0.085
2,-0.14,-0.1975,-0.2425,-0.08,-0.2,-0.05
3,-0.14,-0.2,-0.2325,-0.0775,-0.2,-0.0475
4,-0.14,-0.205,-0.2275,-0.0825,-0.1825,-0.0538
5,-0.13,-0.2025,-0.2425,-0.07,-0.185,0.0075
6,-0.1275,-0.2025,-0.2875,-0.07,-0.0875,-0.06
7,-0.1175,-0.1975,-0.2975,-0.0725,-0.0775,-0.0975
8,-0.0775,-0.225,-0.3,-0.085,-0.0475,-0.125
9,-0.165,-0.3025,-0.35,-0.1025,-0.105,-0.23
10,-0.145,-0.3175,-0.3125,-0.085,-0.1,-0.265
11,-0.1425,-0.28,-0.305,-0.0625,-0.0975,-0.2575
12,-0.1475,-0.245,-0.2613,-0.0625,-0.07,-0.265
13,-0.1675,-0.23,-0.2375,-0.07,-0.0475,-0.2175
14,-0.1575,-0.2,-0.23,-0.075,-0.0525,-0.2225
15,-0.1425,-0.16,-0.2175,-0.1775,-0.05,-0.175
16,-0.1075,-0.115,-0.19,-0.1875,-0.0012,-0.1275
17,-0.134,-0.18,-0.2275,-0.2375,0.0025,-0.15
18,-0.1225,-0.1675,-0.2125,-0.235,-0.0025,-0.155
19,-0.095,-0.1325,-0.175,-0.245,0.0000,-0.105
20,-0.1725,-0.135,-0.1963,-0.2375,-0.005,-0.025
21,-0.1875,-0.1035,-0.285,-0.2175,0.0000,-0.0025
22,-0.17,-0.13,-0.32,-0.2425,-0.0025,0.0200
23,-0.12,-0.0825,-0.2675,-0.25,-0.0025,0.0250
24,-0.0725,-0.075,-0.2475,-0.1988,-0.0025,0.0300
25,-0.0475,-0.1025,-0.38,-0.185,-0.195,0.0675
26,0.0000,-0.05,-0.405,-0.15,-0.145,-0.0325
27,0.0500,-0.0325,-0.405,-0.145,-0.2,-0.0725
28,0.0087,-0.0325,-0.3775,-0.1375,-0.1675,-0.075
29,-0.055,-0.05,-0.305,-0.15,-0.1375,-0.0525
30,-0.05,-0.1025,-0.2925,-0.175,-0.1025,-0.05
31,-0.025,-0.075,-0.235,-0.2025,-0.1025,-0.055
32,-0.0175,-0.1038,-0.2175,-0.19,-0.1625,0.0000
33,-0.105,-0.2725,-0.38,-0.2925,-0.155,0.0000
34,-0.15,-0.275,-0.405,-0.3475,-0.2,-0.0475
35,-0.2025,-0.2875,-0.44,-0.38,-0.28,-0.1975
36,-0.2025,-0.4,-0.45,-0.3825,-0.26,-0.355
37,,-0.4975,-0.4525,-0.4475,-0.3475,-0.5025
38,,-0.3975,-0.45,-0.42,-0.35,-0.6525
39,,-0.3325,-0.455,-0.495,-0.28,-0.655
40,,-0.23,-0.43,-0.49,-0.2,-0.6513
41,,-0.1325,-0.4025,-0.4425,-0.175,-0.6525
42,,-0.11,-0.3825,-0.3775,-0.0925,-0.4475
43,,-0.0775,-0.2425,-0.235,-0.0175,-0.3525
44,,-0.065,-0.1563,-0.2075,-0.03,-0.3025
45,,-0.1425,-0.2675,-0.25,-0.1025,-0.35
46,,-0.1725,-0.24,-0.255,-0.0875,-0.2975
47,,-0.1775,-0.2325,-0.2525,-0.1025,-0.2525
48,,-0.1525,-0.2275,-0.2525,-0.1025,-0.2525
