"SCOTT CITY MO - CONSOLIDATED GRAIN AND BARGE SCOTT - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.0975,0.0800,,
2,-0.07,0.0325,,
3,-0.11,0.0300,0.0975,0.0500
4,-0.04,0.0350,0.0925,0.0000
5,0.0500,-0.0025,0.0825,0.0275
6,0.0525,-0.0025,0.0900,0.0150
7,0.0525,0.0025,0.0300,0.0175
8,0.0625,0.0750,-0.0225,-0.055
9,-0.045,0.0775,0.0150,0.0175
10,-0.005,-0.0975,-0.0063,0.0625
11,-0.0825,-0.17,-0.0375,
12,-0.0175,-0.185,0.0100,
13,0.0125,-0.09,0.0125,
14,0.0125,-0.1,0.0500,
15,0.0175,0.0000,-0.0475,
16,0.0725,0.0650,0.4175,
17,-0.004,-0.05,-0.025,
18,0.0475,0.0325,-0.0113,
19,-0.045,0.0475,-0.095,
20,0.0125,0.0300,-0.05,
21,0.1225,-0.0335,-0.0875,0.0400
22,0.0500,-0.03,-0.0975,0.1313
23,-0.06,-0.0325,-0.2,0.1050
24,-0.1225,0.0050,-0.205,0.2100
25,-0.1875,-0.1025,-0.205,0.2350
26,-0.16,-0.05,-0.2675,0.2425
27,-0.06,-0.1125,-0.185,0.0300
28,-0.1063,0.0375,-0.2025,-0.015
29,-0.355,-0.07,-0.105,-0.0025
30,-0.37,-0.0825,-0.0925,0.0400
31,-0.315,-0.045,-0.27,-0.1325
32,-0.2775,-0.1188,-0.095,-0.0475
33,-0.485,-0.2125,-0.34,-0.05
34,-0.33,-0.315,-0.4,-0.1125
35,-0.2525,-0.3475,-0.1025,-0.1875
36,-0.3125,-0.29,-0.1,-0.07
37,,-0.2775,-0.105,-0.065
38,,-0.2175,-0.1,-0.05
39,,-0.2525,-0.0025,
40,,-0.19,-0.1925,
41,,-0.0625,-0.1425,
42,,-0.01,-0.0463,
43,,-0.0275,-0.1375,
44,,-0.005,-0.16,
45,,-0.0425,-0.1225,
46,,-0.1425,-0.0275,
47,,-0.0675,,
48,,-0.0825,,
