"SEDALIA MO - MFA AGRI SERVICES - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.2975,-0.4,-0.3975,
2,-0.3,-0.3975,-0.4025,
3,-0.3,-0.4,-0.4025,
4,-0.3,-0.395,-0.3975,
5,-0.3,-0.4025,-0.3525,
6,-0.2975,-0.4025,-0.3475,
7,-0.2975,-0.3975,-0.3475,-0.3
8,-0.2975,-0.395,-0.35,-0.295
9,-0.335,-0.4025,-0.4,-0.3075
10,-0.335,-0.3975,-0.4025,-0.2475
11,-0.3425,-0.4,-0.405,-0.2475
12,-0.3375,-0.405,-0.3963,-0.205
13,-0.1975,-0.4,-0.3975,-0.225
14,-0.1975,-0.4,-0.4,-0.2175
15,-0.2025,-0.4,-0.3975,-0.2975
16,-0.1975,-0.395,-0.4,-0.4025
17,-0.244,-0.43,-0.4975,-0.4
18,-0.2525,-0.4275,-0.5025,-0.3738
19,-0.255,-0.4025,-0.405,-0.395
20,-0.2475,-0.395,-0.4013,-0.4
21,-0.2475,-0.4035,-0.395,-0.395
22,-0.25,-0.35,-0.4,-0.3975
23,-0.25,-0.3525,-0.3975,-0.4
24,-0.2525,-0.355,-0.3975,-0.395
25,-0.2475,-0.3525,-0.5,-0.4525
26,-0.25,-0.35,-0.505,-0.36
27,-0.25,-0.3025,-0.495,-0.3925
28,-0.2513,-0.3025,-0.4975,-0.3975
29,-0.145,-0.3,-0.505,-0.4
30,-0.15,-0.3025,-0.5025,-0.6025
31,-0.145,-0.295,-0.505,
32,-0.1475,-0.3538,-0.5025,
33,-0.205,,-0.65,
34,-0.2,,-0.645,
35,-0.2025,,-0.65,-0.6025
36,-0.2025,,,-0.5975
37,,,-0.6025,-0.605
38,,,-0.6,-0.5975
39,,,-0.605,-0.5
40,,-0.3975,-0.6,-0.505
41,,-0.4025,-0.6025,-0.5025
42,,-0.4,-0.6025,-0.5025
43,,-0.3975,-0.4825,
44,,-0.395,-0.4063,
45,,-0.4525,-0.4475,
46,,-0.4525,-0.4,
47,,-0.3975,-0.4025,
48,,-0.4025,-0.3975,
