"SHELBINA MO - MFA - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.4775,-0.45,-0.4775,
2,-0.48,-0.4575,-0.4825,
3,-0.46,-0.38,-0.4625,-0.15
4,-0.43,-0.435,-0.4675,-0.15
5,-0.4,-0.4525,-0.4625,-0.2025
6,-0.3975,-0.4525,-0.4675,-0.205
7,-0.3975,-0.4875,-0.4675,-0.1925
8,-0.3775,-0.495,-0.46,-0.265
9,-0.455,-0.5725,,-0.2625
10,-0.455,-0.5675,-0.5325,-0.2625
11,-0.4125,-0.58,-0.565,-0.28
12,-0.4075,-0.585,-0.4563,-0.275
13,-0.3875,-0.59,-0.4375,-0.2875
14,-0.3275,-0.56,-0.44,-0.3475
15,-0.3525,-0.56,-0.4375,-0.2675
16,-0.3475,-0.505,-0.36,-0.335
17,,-0.58,-0.4475,-0.325
18,-0.3525,-0.5775,-0.4825,-0.3475
19,-0.455,-0.5125,-0.475,-0.3675
20,-0.4775,-0.5,-0.4713,-0.4425
21,-0.3975,-0.5035,-0.485,-0.46
22,-0.4,-0.46,-0.48,-0.4638
23,-0.35,-0.4025,-0.4675,-0.515
24,-0.3525,-0.395,-0.4675,-0.42
25,-0.3375,-0.5025,-0.56,
26,-0.3,-0.47,-0.565,-0.4575
27,-0.24,-0.4725,-0.575,-0.46
28,-0.2713,-0.4725,-0.5575,-0.455
29,-0.145,-0.41,-0.565,-0.4625
30,-0.13,-0.3925,-0.5425,-0.46
31,-0.205,-0.385,-0.555,
32,-0.1975,-0.3988,-0.5125,
33,-0.415,-0.5825,-0.66,
34,-0.31,-0.565,-0.705,
35,-0.3725,-0.5575,-0.73,-0.6675
36,-0.3725,-0.56,-0.75,-0.66
37,,-0.6075,-0.7625,-0.665
38,,-0.6075,-0.71,-0.67
39,,-0.6525,-0.645,-0.6925
40,,-0.6,-0.61,-0.6875
41,,-0.5525,,-0.695
42,,-0.57,-0.5425,-0.6875
43,,-0.5675,-0.5225,
44,,-0.565,-0.4513,
45,,-0.5725,-0.5475,
46,,-0.5725,-0.47,
47,,-0.5675,-0.4825,
48,,-0.5725,-0.4675,
