"SHERIDAN MO - MFA - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.4275,-0.59,-0.6175,-0.3825,-0.6025,-0.405
2,-0.4,-0.5775,-0.6225,-0.38,-0.6,-0.37
3,-0.45,-0.58,-0.6125,-0.3775,-0.6,-0.3675
4,-0.435,-0.585,-0.6075,-0.3825,-0.5825,-0.3738
5,-0.4,-0.5825,-0.6225,-0.37,-0.585,-0.3125
6,-0.3975,-0.5625,,-0.37,-0.4875,-0.38
7,-0.3975,-0.5575,-0.6775,-0.3725,-0.4775,-0.4175
8,-0.3975,-0.585,-0.68,-0.395,-0.4475,-0.445
9,-0.445,-0.6325,-0.74,-0.4025,,-0.55
10,-0.445,-0.6775,-0.6925,-0.385,-0.5,-0.585
11,-0.4425,-0.64,-0.685,-0.3625,-0.4975,-0.5775
12,-0.4575,-0.605,-0.6013,-0.3675,-0.47,-0.565
13,-0.4075,-0.59,-0.6175,-0.37,-0.3475,-0.6375
14,-0.4075,-0.56,-0.61,-0.075,-0.4525,-0.5425
15,-0.4125,-0.54,-0.5975,-0.4475,-0.45,-0.485
16,-0.4075,-0.475,-0.57,-0.4875,-0.4013,-0.4475
17,-0.394,-0.55,-0.6175,-0.5275,-0.3975,-0.77
18,-0.4125,-0.5275,-0.5925,-0.545,-0.4025,-0.475
19,-0.405,-0.4925,-0.555,-0.545,-0.4,-0.425
20,-0.4325,-0.495,-0.5763,-0.5375,-0.405,-0.345
21,-0.4775,-0.4035,-0.665,-0.5175,-0.4,-0.3225
22,-0.48,-0.49,-0.7,-0.5425,-0.4025,-0.3
23,-0.48,-0.4625,-0.6675,-0.55,-0.4025,-0.295
24,-0.3625,-0.435,-0.6275,-0.4988,-0.4025,-0.29
25,-0.3875,-0.4625,,-0.485,-0.625,-0.2525
26,-0.39,-0.41,-0.785,-0.45,-0.555,-0.3525
27,-0.25,-0.4125,-0.785,-0.445,-0.6,-0.3925
28,-0.2513,-0.3925,-0.7575,-0.4375,-0.5675,-0.395
29,-0.295,-0.41,-0.685,-0.45,-0.5375,-0.3725
30,-0.3,-0.4625,-0.6825,-0.475,-0.5025,-0.37
31,-0.295,-0.465,-0.615,-0.5025,-0.5025,-0.375
32,-0.2975,-0.4638,-0.5975,-0.495,-0.5625,-0.32
33,-0.415,-0.6325,-0.78,-0.5925,-0.555,-0.32
34,-0.35,-0.545,-0.785,-0.6475,-0.6,-0.3675
35,-0.5925,-0.5475,-0.72,-0.59,-0.68,-0.5175
36,-0.5525,-0.55,-0.73,-0.5725,-0.585,-0.745
37,,-0.5975,-0.6825,-0.6975,-0.6475,-0.8325
38,,-0.5975,-0.68,-0.67,-0.66,-0.9225
39,,-0.6225,-0.645,-0.635,-0.46,-0.955
40,,-0.57,-0.65,-0.58,-0.43,-0.9513
41,,-0.5425,-0.6525,-0.6525,-0.475,-0.9525
42,,-0.46,-0.6525,-0.6475,-0.2925,-0.8475
43,,-0.4675,-0.6625,-0.585,-0.3175,-0.7525
44,,-0.475,-0.5463,-0.5575,-0.33,-0.7025
45,,-0.4325,-0.6475,-0.6,-0.4025,-0.75
46,,-0.4325,-0.62,-0.545,-0.3875,-0.6975
47,,-0.4275,-0.6325,-0.6325,-0.3925,-0.6525
48,,-0.4325,-0.6075,-0.6325,-0.4025,-0.6525
