"ST LOUIS MO - ADM MILLING ST - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,0.0525,0.1100,0.1825,
2,-0.04,0.0725,0.1675,
3,0.0100,0.1200,0.0975,
4,0.0650,0.1050,0.1225,
5,0.1400,,0.1275,
6,0.1325,0.0875,0.1225,
7,0.1225,0.1725,0.1825,
8,0.1725,0.1450,0.1900,
9,0.0550,0.0775,0.1200,
10,0.0750,-0.0975,0.1175,
11,-0.0025,-0.08,0.1150,
12,0.0525,-0.135,0.0888,
13,0.1125,-0.05,0.0825,
14,0.1225,-0.05,0.0900,
15,0.1475,-0.03,0.1125,
16,0.2025,0.1450,0.1400,
17,0.1460,0.0400,0.0125,
18,0.1475,0.1425,0.0475,0.0200
19,0.0650,0.0975,0.0550,-0.0725
20,0.1025,0.0950,0.0438,-0.1575
21,0.0625,0.0365,-0.075,-0.03
22,0.1000,0.0400,0.0200,-0.015
23,0.1800,0.0875,0.0025,0.0200
24,0.1875,0.1550,-0.0075,0.0375
25,0.1225,0.0175,-0.1,0.0725
26,0.2100,0.0900,-0.135,0.1050
27,0.1700,0.0275,-0.075,0.0425
28,0.0487,0.1575,-0.1275,0.0000
29,-0.005,0.0800,-0.035,0.0750
30,-0.08,0.0775,-0.0225,0.0975
31,-0.065,0.0750,0.0050,0.1275
32,-0.0775,0.0562,0.0775,
33,-0.185,-0.1225,0.0000,
34,-0.11,-0.165,0.0050,
35,-0.1125,-0.2675,0.0000,
36,-0.0525,-0.17,,
37,,-0.1375,-0.3925,
38,,-0.1175,-0.16,
39,,-0.1425,-0.135,
40,,-0.05,-0.14,
41,,0.0875,-0.0625,
42,,0.0600,-0.0425,
43,,0.0825,0.0175,
44,,0.1450,0.1138,
45,,0.0575,0.0225,
46,,-0.0225,0.0000,
47,,0.0825,-0.0425,
48,,0.0375,-0.0075,
