"ST. LOUIS MO - ADM - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,0.0325,0.1100,0.1825,
2,-0.01,0.1125,0.1675,
3,0.0500,0.1200,0.0975,0.1600
4,0.0750,0.1000,0.1125,0.1300
5,0.1400,0.1175,0.1575,0.1275
6,0.1325,0.0575,0.1425,0.1150
7,0.1125,0.1725,0.1825,0.1175
8,0.1725,0.1450,0.2000,0.1650
9,0.0650,0.0775,0.1300,0.1275
10,0.0650,0.1125,0.1275,0.1275
11,-0.0125,,0.1050,0.1400
12,0.0425,-0.135,0.0988,0.1650
13,0.1025,-0.05,0.0825,0.1425
14,0.1225,-0.05,0.1000,0.1525
15,0.1475,-0.03,0.1225,0.1225
16,0.2025,-0.055,0.1400,0.1250
17,0.1060,0.0400,0.0825,0.0550
18,0.1275,0.1625,0.0475,0.0525
19,0.0550,0.0975,0.0550,0.0825
20,0.1175,0.0950,0.0438,0.1375
21,0.0625,0.0365,-0.045,0.1100
22,0.1000,0.0300,0.0200,0.1713
23,0.1800,0.0875,0.0025,0.2050
24,0.1575,0.1450,-0.0075,0.2300
25,0.1425,0.0175,-0.1,0.3250
26,0.3000,0.0900,-0.145,0.3525
27,0.2300,0.0275,-0.105,0.1800
28,0.0337,0.1575,-0.1275,0.2850
29,-0.085,0.0800,-0.045,0.2775
30,-0.08,0.1275,-0.0225,0.1650
31,-0.065,0.0750,0.0150,0.0175
32,-0.0775,0.0213,0.0225,0.0125
33,-0.165,-0.0825,-0.12,0.0100
34,-0.11,-0.175,-0.125,-0.0925
35,-0.1125,-0.2575,-0.23,-0.0675
36,-0.1325,-0.17,-0.4,0.0000
37,,-0.1375,-0.1925,-0.015
38,,-0.1175,-0.16,0.0200
39,,-0.1425,-0.165,0.1075
40,,-0.045,-0.14,0.1425
41,,0.0875,-0.0525,0.0950
42,,0.0700,0.0575,0.0475
43,,0.0925,0.0475,0.0800
44,,0.1250,0.1038,0.0650
45,,0.0575,0.0725,0.1075
46,,0.0075,-0.03,0.1475
47,,0.0725,-0.0225,
48,,0.0375,0.0525,
