"Saint Louis MO - ST. LOUIS USDA WIRE - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,0.0525,0.1000,0.1825,,0.0275,0.1850
2,,0.0825,0.1675,0.1725,0.1200,0.2000
3,,0.1500,0.1275,0.1775,0.1300,0.1725
4,0.0875,0.1100,0.1225,0.1600,0.0475,0.1863
5,0.1400,0.1075,,0.1300,0.1450,0.2075
6,0.1125,0.0875,0.1325,0.1075,0.1325,0.2000
7,0.1225,0.1225,0.1525,0.1250,0.1625,0.2425
8,0.1725,0.1950,0.2000,0.1275,0.1725,0.2750
9,0.0550,0.0675,0.1400,0.1350,0.1350,0.1300
10,0.0350,-0.0675,0.1175,0.1175,0.1800,0.2150
11,-0.0025,-0.06,0.1150,0.1175,0.1325,0.1925
12,,-0.065,0.0988,0.1500,0.1000,0.2550
13,0.1225,-0.12,0.0825,0.1650,0.1225,0.2325
14,,-0.05,0.0900,0.1125,0.1275,0.2575
15,0.1475,0.0400,0.1125,0.1525,0.1900,0.2750
16,0.1825,0.1650,0.1400,0.1225,0.2238,0.2925
17,0.1360,0.0000,0.0225,0.1450,0.2625,0.2200
18,0.1275,0.0525,0.0475,0.0450,0.2575,0.3050
19,0.0650,0.0975,0.0550,0.0225,0.2000,0.2650
20,0.1175,0.0950,0.0587,0.0525,0.2150,0.3450
21,0.0925,0.0565,-0.075,0.1475,0.2200,0.2975
22,0.1200,0.0500,0.0100,0.0900,0.1775,0.3200
23,,0.0875,0.0125,0.1613,0.2075,0.3050
24,0.1575,0.1050,0.0125,0.2050,0.1575,0.3100
25,0.1125,0.0375,,0.2000,0.0450,0.3375
26,0.2600,0.0600,-0.135,0.3250,0.0650,
27,0.2500,0.0275,-0.075,0.3525,0.0500,0.3575
28,0.0337,0.1575,-0.0975,0.2200,0.0825,0.4150
29,-0.095,0.0900,-0.045,0.2050,0.0725,0.2975
30,-0.08,0.1075,-0.0425,0.1675,0.0075,0.2500
31,-0.055,0.0750,0.0150,0.1300,0.0175,0.1950
32,-0.0875,0.0462,0.0325,0.0575,,0.3000
33,-0.175,-0.1025,-0.1,0.0125,,-0.16
34,-0.11,-0.145,-0.115,0.0200,-0.18,-0.0075
35,-0.1225,-0.2575,-0.25,-0.0725,,-0.0775
36,-0.0625,-0.18,-0.37,-0.1575,-0.21,-0.255
37,,0.0325,-0.3525,-0.03,-0.1275,-0.4025
38,,0.0825,-0.16,0.0150,-0.07,-0.4825
39,,0.0275,-0.125,0.0300,-0.12,-0.285
40,,0.0250,-0.13,0.0375,0.1500,-0.2413
41,,0.0875,-0.0725,0.0725,0.1450,-0.0325
42,,0.0600,-0.0525,0.0850,0.1675,-0.0475
43,,0.0925,0.0275,0.0525,0.2025,0.0475
44,,0.1350,0.1038,0.0500,0.1500,0.2175
45,,0.0175,0.0025,0.0750,0.1675,0.1200
46,,-0.0425,0.0000,0.0975,0.1825,0.1025
47,,0.0825,-0.0325,0.1275,0.1975,0.0475
48,,0.0175,-0.0075,,0.1300,0.0675
