TRENTON MO - HOFFMAN &amp; REED - Corn Basis,
"Week
",2014
1,-0.195
2,-0.17
3,-0.1775
4,-0.2288
5,-0.2125
6,-0.25
7,-0.2475
8,-0.275
9,-0.36
10,-0.345
11,-0.3475
12,-0.345
13,-0.3475
14,-0.4025
15,-0.445
16,-0.4475
17,-0.5
18,-0.495
19,-0.745
20,-0.225
21,-0.2025
22,-0.24
23,-0.255
24,-0.25
25,-0.1925
26,-0.2025
27,-0.2025
28,-0.23
29,-0.2725
30,-0.27
31,-0.335
32,-0.3
33,
34,-0.4475
35,
36,-0.605
37,-0.7525
38,-0.7025
39,-0.705
40,-0.7513
41,-0.8025
42,-0.7975
43,-0.8025
44,-0.8025
45,-0.8
46,-0.7975
47,
48,
