"VANDALIA MO - LADDONIA-VANDALIA-MARTINSBURG MFA - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.2575,-0.32,-0.2075,0.0675,-0.4525,-0.045
2,-0.25,-0.2675,-0.2025,0.0700,-0.4,-0.05
3,-0.25,-0.22,-0.2025,0.0425,-0.4,-0.0575
4,-0.255,-0.255,-0.2075,0.0475,-0.4025,-0.0538
5,-0.2,-0.2825,-0.2325,0.0000,-0.325,-0.0125
6,-0.2075,-0.2825,-0.2375,0.0000,-0.2575,-0.05
7,-0.2075,-0.3375,-0.2775,-0.0525,-0.1575,-0.0575
8,-0.2075,-0.275,-0.27,-0.105,-0.2075,-0.115
9,-0.205,-0.3525,-0.3,-0.0725,-0.305,-0.24
10,-0.205,-0.4575,-0.3025,-0.125,-0.33,-0.345
11,-0.2025,-0.45,-0.275,-0.0825,-0.3375,-0.3475
12,-0.2075,-0.455,-0.2163,-0.0675,-0.33,-0.245
13,-0.2575,-0.42,-0.1875,-0.05,-0.3075,-0.2475
14,-0.2575,-0.42,-0.19,-0.055,-0.2625,-0.2425
15,-0.2525,-0.36,-0.1975,-0.1175,-0.22,-0.245
16,-0.2575,-0.365,-0.18,-0.1575,-0.2063,-0.1975
17,-0.234,-0.39,-0.2475,-0.2175,-0.2075,-0.19
18,-0.2025,-0.3975,-0.3025,-0.165,-0.2025,-0.165
19,-0.205,-0.3525,-0.305,-0.165,-0.2,-0.155
20,-0.3075,-0.355,-0.2813,-0.1675,-0.205,-0.155
21,-0.3075,-0.3035,-0.305,-0.2075,-0.2,-0.1225
22,-0.3,-0.31,-0.3,-0.2725,-0.2025,-0.12
23,-0.21,-0.2225,-0.2675,-0.37,-0.2025,-0.125
24,-0.2025,-0.225,-0.2775,-0.3738,-0.2025,-0.12
25,-0.2575,-0.3025,-0.36,-0.385,-0.385,-0.0225
26,-0.2,-0.25,-0.405,-0.32,-0.315,-0.0025
27,-0.15,-0.2025,-0.355,-0.325,-0.3,-0.3025
28,-0.1513,-0.2025,-0.3575,-0.2775,-0.2025,
29,-0.155,-0.27,-0.355,-0.23,-0.1575,
30,-0.15,-0.3025,-0.3525,-0.325,-0.1525,
31,-0.155,-0.305,-0.355,-0.3225,-0.1525,
32,-0.1575,-0.3288,-0.3225,-0.325,-0.2725,
33,-0.295,-0.4025,-0.45,-0.4425,-0.415,
34,-0.35,-0.405,-0.505,-0.4575,-0.28,
35,-0.4025,-0.4575,-0.55,-0.45,-0.28,-0.4375
36,-0.4025,-0.46,-0.6,-0.4525,-0.22,-0.555
37,,-0.4575,-0.6525,-0.5175,-0.1475,-0.7525
38,,-0.4575,-0.55,-0.51,-0.1,-0.7525
39,,-0.4525,-0.525,-0.425,-0.07,-0.755
40,,-0.405,-0.42,-0.38,0.0200,-0.8013
41,,-0.3525,-0.4025,-0.3825,0.0750,-0.8025
42,,-0.31,-0.3725,-0.2875,0.0975,-0.6075
43,,-0.2975,-0.4025,-0.235,0.0925,-0.5525
44,,-0.305,-0.3013,-0.2375,0.1000,-0.5525
45,,-0.2525,-0.4075,-0.25,0.0275,-0.43
46,,-0.2525,-0.35,-0.235,0.0325,-0.4375
47,,-0.2575,-0.3525,-0.2025,0.0375,-0.5525
48,,-0.2525,-0.3075,-0.2025,0.0375,-0.5025
