WAVERLY   MO - BARTLETT &amp; CO - Corn Basis,,,,
"Week
",2017,2016,2015,2014
1,-0.3475,-0.1025,-0.3525,0.055
2,-0.3525,-0.1,-0.35,0.05
3,-0.4025,-0.0975,-0.32,0.0025
4,-0.3975,-0.1025,-0.3025,-0.0238
5,,-0.1,-0.245,0.0375
6,-0.3975,-0.1,-0.2475,-0.05
7,-0.3975,-0.1025,-0.2475,-0.0275
8,,-0.105,-0.2275,-0.025
9,,-0.1025,-0.295,-0.13
10,-0.4825,-0.095,-0.3,-0.125
11,-0.485,-0.1525,-0.2675,-0.1275
12,-0.4813,-0.1625,-0.25,-0.045
13,-0.2975,-0.18,-0.2175,-0.0975
14,-0.3,-0.145,-0.2225,-0.1525
15,-0.2975,-0.1975,-0.18,-0.175
16,-0.3,-0.1475,-0.1763,-0.1525
17,-0.3675,-0.1875,-0.1575,-0.21
18,-0.3725,-0.145,-0.1525,-0.195
19,-0.365,-0.165,-0.15,-0.095
20,-0.3713,-0.1975,-0.195,-0.045
21,-0.365,-0.2475,-0.2,-0.0025
22,-0.37,-0.3525,-0.2025,0
23,-0.3675,-0.38,-0.1725,-0.045
24,-0.3675,-0.2738,-0.1625,-0.07
25,,-0.245,-0.305,0.0375
26,-0.505,-0.25,-0.205,-0.0525
27,-0.505,-0.245,-0.25,
28,-0.4975,-0.2475,-0.2975,-0.12
29,-0.505,-0.25,-0.2475,-0.1025
30,-0.4925,-0.345,-0.2525,-0.1
31,-0.505,-0.3525,-0.2525,-0.045
32,-0.5025,-0.365,-0.3625,-0.05
33,,-0.5025,-0.345,-0.3
34,,-0.5075,-0.35,-0.4475
35,,-0.51,-0.33,-0.3975
36,-0.65,-0.5625,-0.25,-0.395
37,-0.6525,-0.6075,-0.2475,-0.5525
38,-0.65,-0.6,-0.2,-0.5525
39,-0.655,-0.605,-0.1,-0.545
40,-0.65,-0.61,-0.1,-0.5513
41,-0.6525,-0.4025,-0.065,-0.5525
42,,-0.3975,-0.0525,-0.5475
43,,-0.405,-0.0475,-0.5525
44,,-0.3425,-0.05,-0.4025
45,,-0.4,-0.1225,-0.4
46,,-0.405,-0.1375,-0.3475
47,,-0.4025,-0.1025,-0.3525
48,,-0.4025,-0.1025,-0.3525
