"FARBER MO - CE GRAIN COMPANY LLC - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.1475,-0.18,-0.0975,0.0975,-0.3525,0.0950
2,-0.17,-0.1575,-0.1025,0.1000,-0.35,0.1000
3,-0.1,-0.14,-0.1025,0.0825,-0.34,0.0025
4,-0.1,-0.145,-0.1275,0.0775,-0.2525,0.0012
5,-0.12,-0.2025,-0.1325,,-0.215,0.0675
6,-0.1175,-0.2025,-0.1475,,,0.0300
7,-0.0475,-0.1975,-0.1975,,-0.1475,0.0025
8,-0.0375,-0.205,-0.2,,-0.1475,-0.055
9,-0.125,-0.3325,-0.28,-0.0725,-0.165,-0.32
10,-0.125,-0.3975,-0.1725,-0.095,-0.23,-0.295
11,-0.1225,-0.43,-0.145,-0.0825,-0.2275,-0.2475
12,-0.0975,-0.435,-0.0912,-0.0575,-0.35,-0.205
13,-0.0975,-0.37,-0.1575,-0.02,-0.3475,-0.1475
14,-0.0775,-0.36,-0.15,-0.045,-0.3525,-0.1825
15,-0.0825,-0.31,-0.1375,-0.1275,-0.22,-0.165
16,-0.0475,-0.245,-0.13,-0.0975,-0.1763,-0.1025
17,-0.114,-0.43,-0.2175,-0.1675,-0.1275,-0.12
18,-0.1025,-0.3975,-0.2525,-0.105,-0.1325,-0.095
19,-0.145,-0.2825,-0.255,-0.145,-0.13,0.0050
20,-0.1975,-0.265,-0.2463,-0.1775,-0.125,0.0550
21,-0.1975,-0.2535,-0.265,-0.1975,-0.13,0.1175
22,-0.2,-0.25,-0.25,-0.2525,-0.1225,0.1000
23,-0.12,-0.1725,-0.2075,-0.35,-0.1225,0.0950
24,-0.0825,-0.145,-0.1775,-0.3488,-0.1225,0.1000
25,-0.0975,-0.2025,-0.4,-0.295,-0.285,0.1375
26,-0.01,-0.2,-0.355,-0.25,-0.245,0.0875
27,0.0000,-0.1525,-0.315,-0.245,-0.15,0.1475
28,-0.0413,-0.1725,-0.3175,-0.2475,-0.0725,0.2050
29,-0.075,-0.22,-0.325,-0.23,-0.0975,0.0475
30,-0.1,-0.2525,-0.3225,-0.295,-0.1025,-0.02
31,-0.105,-0.245,-0.315,-0.3025,-0.1025,-0.145
32,-0.0975,-0.2638,-0.2875,-0.345,-0.1725,0.0000
33,-0.225,-0.3225,-0.35,-0.3925,-0.205,-0.1
34,-0.25,-0.355,-0.415,-0.3975,-0.17,-0.3475
35,-0.3025,-0.4275,-0.45,-0.4,-0.23,-0.2975
36,-0.3225,-0.4,-0.48,-0.4225,-0.215,-0.505
37,,-0.3975,-0.4825,-0.5175,-0.1375,-0.5025
38,,-0.3975,-0.45,-0.51,-0.1,-0.6025
39,,-0.3825,-0.425,-0.415,-0.06,-0.645
40,,-0.255,-0.42,-0.38,0.0200,-0.7063
41,,-0.2025,-0.3725,-0.3825,0.0850,-0.7025
42,,-0.12,-0.3725,-0.2775,0.0975,-0.5875
43,,-0.0975,-0.3325,-0.245,0.1025,-0.5525
44,,-0.045,-0.2163,-0.2275,0.1500,-0.5525
45,,-0.2725,-0.2575,-0.15,0.0175,-0.42
46,,-0.1525,-0.24,-0.125,0.0725,-0.3975
47,,-0.1475,-0.2425,-0.1025,0.0775,-0.5025
48,,-0.1525,-0.2375,-0.1025,0.0725,-0.3825
