"GILMAN CITY MO - GFG AG SERVICES - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.4475,-0.5,-0.5475,
2,-0.4,-0.4975,-0.5525,
3,-0.4,-0.45,-0.5525,-0.35
4,-0.3975,-0.455,-0.5475,-0.35
5,-0.4,-0.4525,,-0.3525
6,-0.3975,-0.4525,-0.5275,-0.355
7,-0.3975,-0.4475,-0.5175,-0.4025
8,-0.3975,-0.425,-0.55,-0.405
9,-0.445,-0.5025,-0.59,-0.4025
10,-0.455,-0.4975,-0.6025,-0.4025
11,-0.4525,-0.5,-0.605,-0.4
12,-0.4575,-0.505,-0.5663,-0.405
13,-0.4575,-0.5,-0.5475,-0.4475
14,-0.4475,-0.55,-0.55,-0.4475
15,-0.4225,-0.55,-0.5475,-0.4975
16,-0.4275,-0.535,-0.55,-0.505
17,-0.484,-0.69,-0.5475,-0.505
18,-0.4025,-0.6075,-0.5525,-0.4975
19,-0.395,-0.6025,-0.545,-0.4975
20,-0.3975,-0.58,-0.5513,-0.5025
21,-0.3975,-0.5035,-0.545,-0.6
22,-0.4,-0.51,-0.55,-0.5988
23,-0.4,-0.5025,-0.5475,-0.605
24,-0.4025,-0.505,-0.5475,-0.6
25,-0.4575,,,-0.605
26,-0.3,,-0.625,-0.5975
27,-0.25,,-0.625,-0.55
28,-0.2513,,-0.6175,-0.555
29,-0.255,,-0.605,-0.5525
30,-0.25,,-0.6025,-0.555
31,-0.255,-0.305,-0.605,-0.5925
32,-0.2475,-0.3038,-0.6025,-0.5975
33,-0.355,-0.4525,-0.68,-0.6
34,-0.4,-0.445,-0.685,-0.6025
35,-0.4025,-0.4575,-0.68,-0.6775
36,-0.4025,-0.45,-0.6,-0.67
37,,-0.4975,-0.6025,-0.675
38,,-0.4475,-0.6,-0.68
39,,-0.4525,-0.605,-0.6825
40,,-0.4525,-0.6,-0.6775
41,,-0.4025,-0.6025,-0.655
42,,-0.36,-0.6025,-0.5975
43,,,-0.6025,-0.65
44,,-0.355,-0.5013,-0.655
45,,-0.4525,-0.4975,-0.6525
46,,-0.4525,-0.5,-0.6525
47,,-0.4575,-0.5025,
48,,-0.4525,-0.4975,
