"LADDONIA MO - POET - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.1275,-0.18,-0.0975,0.0975,-0.3025,0.0950
2,-0.15,-0.1575,-0.1025,0.0800,-0.25,0.1000
3,-0.1,-0.14,-0.1225,0.0825,-0.24,0.0725
4,-0.1,-0.16,-0.1275,0.0575,-0.2525,0.0412
5,-0.07,-0.2025,-0.1325,0.0500,-0.215,0.0675
6,-0.0675,-0.2325,-0.1475,0.0500,-0.1475,0.0300
7,-0.0675,-0.2275,-0.1975,-0.0025,-0.1475,-0.0175
8,-0.0475,-0.205,-0.18,-0.055,-0.1475,-0.055
9,-0.125,-0.2825,-0.2,-0.0225,-0.225,-0.2
10,-0.125,-0.3775,-0.1725,-0.045,-0.25,-0.205
11,-0.1225,-0.38,-0.145,-0.0325,-0.2475,-0.1975
12,-0.1175,-0.385,-0.0912,-0.0075,-0.27,-0.205
13,-0.0975,-0.32,-0.1075,0.0300,-0.2575,-0.1475
14,-0.0775,-0.31,-0.1,-0.005,-0.2625,-0.2325
15,-0.0825,-0.26,-0.0875,-0.0775,-0.22,-0.135
16,0.0025,-0.195,-0.08,-0.0475,-0.1363,-0.0875
17,-0.084,-0.29,-0.1975,-0.0775,-0.1275,-0.12
18,-0.1025,-0.2675,-0.2025,-0.065,-0.1325,-0.095
19,-0.205,-0.2325,-0.205,-0.095,-0.13,0.0050
20,-0.1975,-0.22,-0.1963,-0.1275,-0.125,0.0550
21,-0.1975,-0.2035,-0.215,-0.1475,-0.14,0.1175
22,-0.2,-0.2,-0.2,-0.2225,-0.1525,0.1000
23,-0.1,-0.1025,-0.1575,-0.3,-0.1225,0.0950
24,-0.0825,-0.105,-0.1375,-0.2988,-0.1225,0.1000
25,-0.0975,-0.1525,-0.28,-0.245,-0.285,0.1675
26,-0.01,-0.12,-0.295,-0.25,-0.205,0.1175
27,0.0000,-0.1025,-0.265,-0.245,-0.15,0.1475
28,-0.0413,-0.1225,-0.2675,-0.1975,-0.0725,0.2050
29,-0.075,-0.17,-0.275,-0.15,-0.0475,-0.0025
30,-0.1,-0.2025,-0.2725,-0.245,-0.0825,-0.04
31,-0.105,-0.195,-0.225,-0.2525,-0.0825,-0.195
32,-0.0975,-0.2388,-0.2025,-0.235,-0.1725,0.0000
33,-0.225,-0.3225,-0.37,-0.2625,-0.105,-0.2
34,-0.27,-0.355,-0.415,-0.2675,,-0.1475
35,-0.3525,-0.4275,-0.45,-0.35,-0.23,-0.1975
36,-0.3225,-0.4,-0.48,-0.3725,-0.21,-0.395
37,,-0.3975,-0.4825,-0.4175,-0.1375,-0.4025
38,,-0.3975,-0.42,-0.41,-0.1,-0.5025
39,,-0.3825,-0.425,-0.315,-0.06,-0.555
40,,-0.255,-0.42,-0.28,0.0200,-0.6063
41,,-0.1525,-0.3725,-0.2825,0.0850,-0.4525
42,,-0.12,-0.3725,-0.1775,0.1475,-0.4875
43,,-0.0975,-0.3325,-0.135,0.1725,-0.4525
44,,-0.045,-0.2163,-0.1225,0.1500,-0.4525
45,,-0.1725,-0.2575,-0.15,0.0775,-0.32
46,,-0.1525,-0.24,-0.125,0.0925,-0.2975
47,,-0.1475,-0.2425,-0.1025,0.0775,-0.4025
48,,-0.1525,-0.2175,-0.1025,0.0725,-0.3075
