"LAMAR     MO - MFA - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.1475,-0.3,-0.3475,-0.1525,-0.3525,-0.095
2,-0.15,-0.2975,-0.3525,-0.15,-0.35,-0.1
3,-0.15,-0.3,-0.3525,-0.1475,-0.34,0.0025
4,-0.15,-0.295,-0.3475,-0.0025,-0.3525,0.0012
5,-0.1,-0.2525,-0.4025,0.0000,-0.365,-0.0625
6,-0.0975,-0.2525,-0.3975,0.0000,-0.3475,-0.1
7,-0.0975,-0.2475,-0.3975,-0.0025,-0.3475,-0.1875
8,0.0025,-0.245,-0.35,0.0450,-0.3475,0.0550
9,-0.095,-0.2825,-0.4,-0.0025,-0.445,-0.05
10,-0.095,-0.3075,-0.4025,0.0050,-0.45,-0.005
11,0.0475,-0.25,-0.405,-0.0025,-0.2975,0.0025
12,0.0525,-0.255,-0.3963,0.0025,-0.3,-0.005
13,0.1025,-0.3,-0.3975,0.0000,-0.2475,0.0025
14,0.1025,-0.3,-0.4,-0.005,-0.1525,-0.0225
15,0.0975,-0.3,-0.3975,-0.0075,-0.15,0.0950
16,0.1025,-0.245,-0.4,-0.0975,-0.1463,0.1225
17,-0.034,-0.34,,-0.2475,-0.2475,0.1000
18,0.0075,-0.3275,-0.3025,-0.255,-0.2525,0.0950
19,0.0050,-0.1525,-0.295,-0.245,-0.25,0.0950
20,0.1025,-0.145,-0.3013,-0.2475,-0.245,0.0950
21,0.0025,-0.1535,-0.295,-0.2475,-0.16,0.0975
22,0.0000,-0.15,-0.3,-0.2025,-0.1525,0.1000
23,0.0000,-0.1525,-0.2975,-0.2,-0.1525,0.0950
24,-0.0025,-0.145,-0.2975,-0.1988,-0.1025,0.1000
25,0.0125,-0.0825,-0.4,-0.255,-0.385,0.0675
26,0.0400,-0.09,-0.295,-0.16,0.0350,0.1175
27,,-0.1025,-0.295,-0.205,0.0000,0.1475
28,0.0487,-0.1025,-0.2975,-0.1975,0.0025,0.1500
29,,-0.06,,,,-0.1925
30,,0.1375,-0.3025,,-0.1525,-0.21
31,,0.0050,-0.295,,-0.1525,-0.215
32,,-0.0037,-0.2975,,-0.2625,-0.21
33,-0.295,-0.1525,-0.4,-0.5925,-0.295,-0.35
34,0.1000,-0.145,-0.395,-0.5975,-0.3,-0.5475
35,0.0975,-0.1475,-0.4,-0.6,-0.23,-0.6475
36,0.0975,-0.15,-0.4,-0.6025,-0.2,-0.755
37,,-0.1975,-0.4025,-0.4975,-0.1975,-0.7525
38,,-0.1475,-0.4,-0.49,-0.19,-0.7525
39,,-0.1525,-0.405,-0.495,-0.2,-0.745
40,,-0.1,-0.4,-0.5,-0.2,-0.7063
41,,-0.1025,-0.3025,-0.5025,-0.185,-0.5525
42,,-0.1,-0.3025,-0.4975,-0.1725,-0.5375
43,,-0.0975,-0.2525,-0.505,-0.1875,-0.5525
44,,-0.105,-0.2513,-0.4975,-0.18,-0.5525
45,,-0.2525,-0.3475,-0.5,-0.3525,-0.39
46,,-0.2025,-0.35,-0.505,-0.3375,-0.3975
47,,-0.1975,-0.3525,-0.5025,-0.3525,-0.4025
48,,-0.2025,-0.3475,-0.5025,-0.2525,-0.3825
