"LAREDO    MO - MFA - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.4475,-0.5,-0.5975,-0.3025,-0.5525,-0.205
2,-0.45,-0.4975,-0.5525,-0.3,-0.6,-0.16
3,-0.45,-0.5,-0.5525,-0.2975,-0.59,-0.2475
4,-0.45,-0.475,-0.5975,-0.3525,-0.5525,-0.2088
5,-0.5,-0.5025,-0.6025,-0.35,-0.555,-0.1625
6,-0.4975,-0.5025,-0.6475,-0.35,-0.5375,-0.3
7,-0.3975,-0.4975,-0.6475,-0.3525,-0.5275,-0.2475
8,-0.3975,-0.495,-0.65,-0.325,-0.5075,-0.265
9,-0.455,-0.5525,-0.71,-0.3525,-0.555,-0.43
10,-0.455,-0.5475,-0.6525,-0.345,-0.55,-0.365
11,-0.4525,-0.55,-0.655,-0.3525,-0.4975,-0.3575
12,-0.4475,-0.555,-0.6213,-0.3675,-0.4,-0.365
13,-0.3975,-0.6,-0.5975,-0.38,-0.3975,-0.3475
14,-0.2975,-0.55,-0.55,-0.385,-0.4025,-0.3925
15,-0.3025,-0.55,-0.5475,-0.4075,-0.4,-0.405
16,-0.2975,-0.545,-0.5,-0.4475,-0.3963,-0.4575
17,-0.394,-0.69,-0.6375,-0.4475,-0.3475,-0.4
18,-0.3525,-0.6775,-0.5525,-0.455,-0.3525,-0.405
19,-0.355,,-0.545,-0.455,-0.3,-0.345
20,-0.3475,-0.5,-0.5513,-0.4475,-0.295,-0.245
21,-0.3975,-0.5535,-0.595,-0.4475,-0.28,-0.2325
22,-0.4,-0.5,-0.55,-0.5025,-0.2725,-0.23
23,-0.4,-0.5025,-0.5475,-0.6,-0.2725,-0.235
24,-0.4025,-0.505,-0.5475,-0.5488,-0.2625,-0.23
25,-0.3475,-0.4525,-0.6,-0.605,-0.405,-0.2125
26,-0.35,-0.45,-0.605,-0.55,-0.415,-0.2625
27,-0.25,-0.4525,-0.595,-0.545,-0.45,-0.2325
28,-0.2513,-0.4525,-0.5975,-0.5475,-0.4475,-0.345
29,-0.245,-0.55,-0.655,-0.55,-0.3675,-0.3525
30,-0.25,-0.5525,-0.6025,-0.545,-0.3625,-0.37
31,-0.245,-0.395,-0.605,-0.5525,-0.3625,-0.345
32,-0.2475,-0.3988,-0.6025,-0.555,-0.4725,-0.35
33,-0.475,-0.5525,-0.7,-0.5425,-0.455,-0.6
34,-0.4,-0.555,-0.695,-0.5975,-0.5,-0.4475
35,-0.4025,-0.5475,-0.68,-0.6,-0.53,-0.4475
36,-0.4025,-0.5,-0.6,-0.5525,-0.5,-0.645
37,,-0.4975,-0.6025,-0.6275,-0.4475,-0.7525
38,,-0.4475,-0.6,-0.61,-0.45,-0.6525
39,,-0.4525,-0.605,-0.545,-0.4,-0.695
40,,-0.475,-0.6,-0.55,-0.4,-0.7313
41,,-0.4025,-0.6525,-0.5525,-0.365,-0.7525
42,,-0.35,-0.6525,-0.5475,-0.3525,-0.7375
43,,-0.3475,-0.6025,-0.555,-0.2975,-0.7525
44,,-0.355,-0.6013,-0.5475,-0.3,-0.7525
45,,-0.5025,-0.5475,-0.6,-0.3025,-0.74
46,,-0.4525,-0.55,-0.605,-0.2875,-0.7475
47,,-0.3975,-0.5525,-0.6025,-0.3025,-0.7025
48,,-0.4025,-0.5475,-0.6025,-0.3025,-0.5875
