"LOCKWOOD MO - LOCKWOOD FARMERS EXCHANGE - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,,-0.33,-0.4075,-0.0725,-0.3525,0.1050
2,-0.14,-0.2875,-0.4125,-0.09,-0.33,0.0900
3,-0.15,-0.28,-0.4025,-0.1275,-0.34,0.0825
4,-0.12,-0.265,-0.4075,-0.1325,-0.3325,0.0162
5,-0.0975,-0.2625,-0.4125,-0.13,-0.305,0.0075
6,-0.0975,-0.2625,-0.3975,-0.11,-0.3175,0.0100
7,-0.0875,-0.2575,-0.3875,-0.1125,-0.3175,0.0025
8,-0.195,-0.245,-0.36,-0.085,-0.2775,-0.015
9,-0.195,-0.3425,-0.33,-0.0725,-0.305,-0.01
10,-0.2025,-0.3375,-0.3025,-0.065,-0.32,-0.025
11,-0.2275,-0.32,-0.175,-0.1525,-0.2675,-0.0575
12,-0.1075,-0.315,-0.1713,-0.1175,-0.28,0.0650
13,-0.1175,-0.33,-0.1775,-0.15,-0.2875,0.0625
14,-0.1325,-0.31,-0.24,-0.155,-0.2725,0.0475
15,-0.1075,-0.28,-0.1675,-0.1975,-0.28,0.3750
16,-0.194,-0.295,-0.2,-0.1875,-0.2563,0.3225
17,0.0075,-0.39,-0.3475,-0.2075,-0.2475,0.3800
18,0.0050,,-0.3025,-0.225,-0.2125,0.3750
19,-0.0425,-0.4225,-0.275,-0.315,-0.21,0.3850
20,0.0425,-0.215,-0.2713,-0.3375,-0.215,0.3850
21,-0.09,-0.1435,-0.265,-0.3175,-0.23,0.0575
22,-0.06,-0.16,-0.19,-0.3625,-0.2225,0.0800
23,-0.1125,-0.1125,-0.1375,-0.34,-0.2225,0.0550
24,-0.1675,-0.025,-0.1175,-0.3388,-0.2125,0.0700
25,0.0200,-0.1125,,-0.355,-0.295,0.1775
26,0.0500,0.0800,-0.255,-0.36,-0.235,0.3475
27,0.0337,0.0275,-0.245,-0.335,-0.29,0.3575
28,0.0650,0.0075,-0.2175,-0.3575,-0.2975,0.3300
29,0.0700,-0.01,-0.195,-0.34,-0.2575,0.3375
30,0.0950,0.0375,-0.2225,-0.335,-0.2225,0.3400
31,0.0825,0.1350,-0.215,-0.5325,-0.2225,-0.275
32,-0.045,0.1363,-0.1975,-0.445,-0.3625,-0.28
33,0.1000,-0.0225,-0.35,-0.5525,-0.405,-0.39
34,0.0975,-0.085,-0.355,-0.4975,-0.41,-0.4375
35,0.0675,-0.0675,-0.35,-0.53,-0.46,-0.6375
36,,-0.09,-0.35,-0.5325,-0.415,-0.625
37,,-0.0875,-0.3425,-0.5375,-0.4375,-0.5825
38,,-0.0775,-0.34,-0.51,-0.35,-0.6225
39,,-0.1025,-0.335,-0.525,-0.44,-0.625
40,,-0.07,-0.35,-0.51,-0.23,-0.6813
41,,-0.1225,-0.3525,-0.3325,-0.255,-0.4625
42,,-0.07,-0.3325,-0.3375,-0.2025,-0.5075
43,,-0.0375,-0.3125,-0.305,-0.0875,-0.5025
44,,0.0150,-0.2513,-0.3025,-0.08,-0.5125
45,,-0.1425,-0.3275,-0.43,-0.0725,-0.47
46,,-0.1825,-0.29,-0.435,-0.1075,-0.2575
47,,-0.1775,-0.2825,-0.4025,-0.0825,-0.2725
48,,-0.1325,-0.3275,-0.3925,-0.0825,-0.3275
