"MARTINSBURG MO - FARMERS ELEVATOR - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.2175,-0.3,-0.2475,0.0175,-0.4525,
2,-0.22,-0.2975,-0.2025,0.0200,,-0.0275
3,-0.22,-0.3,-0.2025,0.0225,,-0.0488
4,-0.22,-0.25,-0.1975,0.0175,,-0.0325
5,-0.18,-0.2525,-0.2225,0.0300,,-0.07
6,-0.1775,-0.2725,-0.2175,-0.02,-0.2475,-0.1175
7,-0.1775,-0.2975,-0.2475,-0.0225,-0.2475,-0.145
8,-0.1775,-0.295,-0.25,-0.105,-0.2275,-0.3
9,-0.185,-0.4325,-0.3,-0.1025,-0.245,-0.295
10,-0.185,-0.4275,-0.3025,-0.095,-0.3,-0.2975
11,-0.1925,-0.42,-0.305,-0.1225,-0.2875,-0.275
12,-0.1875,-0.425,-0.2963,-0.1225,-0.29,
13,-0.1975,-0.38,-0.2775,-0.12,-0.3075,-0.2525
14,-0.1975,-0.38,-0.28,-0.155,-0.2125,-0.255
15,-0.2025,-0.38,-0.2775,-0.1575,-0.21,-0.1875
16,-0.1975,-0.305,-0.2,-0.1475,-0.1513,-0.22
17,-0.184,-0.39,-0.2475,-0.1975,-0.1175,-0.215
18,-0.2025,-0.3875,-0.2825,-0.205,-0.1225,
19,-0.205,-0.3925,-0.255,-0.205,-0.12,-0.045
20,-0.2475,-0.395,-0.2413,-0.1975,-0.145,0.0175
21,-0.2475,-0.3035,-0.295,-0.1675,-0.14,0.0000
22,-0.25,-0.3,-0.3,-0.2525,-0.2025,0.0050
23,-0.2,-0.3025,-0.2975,-0.35,-0.2725,0.0000
24,-0.2025,-0.295,-0.2975,-0.3288,-0.2025,0.0875
25,-0.1975,-0.4225,-0.4,-0.295,-0.395,0.0975
26,-0.2,-0.25,-0.395,-0.2,-0.355,0.0475
27,-0.2,-0.2525,-0.375,-0.205,-0.28,0.1050
28,-0.2013,-0.2525,-0.3775,-0.1975,-0.1925,-0.0525
29,-0.195,-0.3,-0.355,-0.2,-0.0975,-0.12
30,-0.2,-0.2725,-0.3525,-0.195,-0.1525,-0.345
31,-0.205,-0.265,-0.335,-0.2525,-0.1525,-0.15
32,-0.1975,-0.2738,-0.2925,-0.25,-0.2625,-0.25
33,-0.275,-0.3325,-0.42,-0.2925,-0.135,-0.0975
34,-0.32,-0.355,-0.415,-0.3475,-0.15,-0.1975
35,-0.3725,-0.4475,-0.46,-0.32,-0.23,-0.495
36,-0.4025,-0.4,-0.55,-0.3925,-0.225,-0.5525
37,,-0.4175,-0.6025,-0.4475,,-0.6425
38,,-0.4175,-0.48,-0.44,,-0.695
39,,-0.4225,-0.485,-0.445,,-0.7513
40,,-0.345,-0.48,-0.45,,
41,,-0.2725,-0.4025,-0.3725,-0.015,
42,,-0.27,-0.4025,-0.3175,0.0075,
43,,-0.2675,-0.4025,-0.325,0.0125,
44,,-0.205,-0.3513,-0.1975,0.0700,
45,,-0.2325,-0.3975,-0.3,-0.0025,
46,,-0.2325,-0.4,-0.275,0.0325,-0.4825
47,,-0.2275,-0.4025,-0.2525,0.0175,-0.4225
48,,-0.2325,-0.3975,-0.2525,0.0175,
