"MENDON MO - AGRISERVICES OF BRUNSWICK - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,,-0.35,-0.3975,-0.1625,-0.4525,
2,-0.33,-0.3475,-0.3525,-0.16,-0.4,-0.0475
3,-0.33,-0.35,-0.3525,-0.1575,-0.39,-0.0738
4,-0.33,-0.355,-0.3475,-0.1625,,-0.0125
5,-0.3275,-0.3525,-0.3525,-0.15,-0.365,-0.1
6,-0.3275,-0.3525,-0.3475,-0.15,-0.3475,-0.0775
7,,-0.3475,-0.3475,-0.2025,-0.2975,
8,-0.345,,-0.35,-0.205,-0.2975,-0.18
9,-0.355,-0.4325,,-0.1525,-0.345,-0.185
10,-0.3525,-0.4275,-0.4025,-0.145,-0.35,-0.1775
11,-0.2975,-0.43,-0.405,-0.2025,-0.2975,-0.095
12,-0.2975,-0.405,-0.3975,-0.205,-0.3,-0.1475
13,-0.2975,-0.4,-0.3475,-0.2,,-0.2325
14,-0.3025,-0.4,-0.33,-0.225,-0.2525,-0.205
15,-0.2475,-0.35,-0.3275,-0.2575,-0.2,-0.205
16,-0.274,-0.345,,,-0.1963,-0.26
17,-0.2525,-0.4,-0.3675,-0.2275,-0.1975,-0.205
18,-0.255,-0.3975,-0.3725,-0.205,-0.2025,-0.095
19,-0.2475,-0.3525,-0.375,-0.225,-0.2,
20,-0.2475,-0.355,-0.3725,-0.2475,-0.205,-0.0525
21,-0.25,-0.3535,-0.365,,-0.21,-0.05
22,-0.25,-0.3,-0.37,-0.3825,-0.2025,-0.045
23,,-0.3025,-0.3675,-0.38,-0.2025,-0.1
24,-0.1975,-0.295,,-0.38,-0.2025,-0.0325
25,-0.2,-0.3525,-0.45,,,-0.1325
26,-0.15,-0.35,-0.445,,-0.265,-0.1025
27,,-0.3525,-0.445,,-0.35,-0.1425
28,-0.145,-0.3025,-0.4475,,-0.3475,-0.1025
29,-0.1,,-0.455,,-0.1975,-0.17
30,-0.105,-0.2525,-0.4525,,-0.2025,-0.095
31,-0.0975,-0.295,-0.455,,-0.2025,
32,-0.105,-0.2988,-0.45,,-0.3125,-0.35
33,-0.11,,-0.55,-0.4425,-0.295,-0.4475
34,-0.1025,,-0.495,-0.4475,-0.4,-0.4475
35,,,-0.5,-0.45,-0.43,-0.455
36,,,,,-0.4025,-0.6025
37,,-0.4475,-0.5325,-0.5175,-0.2975,-0.6025
38,,-0.4475,-0.53,-0.51,-0.25,-0.595
39,,-0.4525,-0.525,-0.515,-0.1,-0.6063
40,,-0.425,-0.53,-0.5,-0.1,-0.6025
41,,-0.3725,,-0.5025,-0.065,-0.5375
42,,-0.35,-0.5025,-0.4975,-0.0525,-0.5525
43,,-0.3475,-0.4525,-0.405,-0.0475,-0.4525
44,,-0.355,-0.4025,-0.3975,,-0.44
45,,-0.4325,-0.3975,-0.5,-0.1325,-0.3975
46,,-0.4025,-0.38,-0.505,-0.1475,-0.4025
47,,-0.3975,-0.3825,-0.4525,-0.1625,-0.415
48,,-0.3525,-0.3475,,-0.165,
