"MEXICO MO - MEXICO MFA AGRI SERVICES - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.2575,-0.35,-0.2575,-0.0025,-0.5025,-0.095
2,-0.25,-0.2775,-0.2525,0.0000,-0.45,-0.1
3,-0.25,-0.25,-0.2525,-0.0575,-0.45,-0.1075
4,-0.255,-0.255,-0.2575,-0.0525,-0.4225,-0.1038
5,-0.13,-0.3025,-0.2825,-0.05,-0.405,-0.0625
6,-0.2475,-0.3025,-0.2875,-0.05,-0.3075,-0.1
7,-0.2575,-0.3575,-0.3275,,-0.2275,-0.1075
8,-0.2575,-0.275,-0.32,-0.165,-0.2275,-0.165
9,-0.255,-0.3525,-0.35,-0.1725,-0.355,-0.29
10,-0.255,-0.4075,-0.3525,-0.225,-0.38,-0.395
11,-0.2525,-0.45,-0.325,-0.1525,-0.3875,-0.3975
12,-0.2575,-0.455,-0.2663,-0.1425,-0.38,-0.295
13,-0.2575,-0.45,-0.2375,-0.12,-0.3575,-0.2975
14,-0.2575,-0.45,-0.25,-0.125,-0.3025,-0.2925
15,-0.2525,-0.4,-0.2475,-0.1375,-0.3,-0.295
16,-0.2575,-0.305,-0.23,-0.2075,-0.2563,-0.2475
17,-0.284,-0.4,-0.2975,-0.2675,-0.2575,-0.24
18,-0.2525,-0.3975,-0.3025,-0.215,-0.2525,-0.215
19,-0.255,-0.3525,-0.305,-0.215,-0.25,-0.205
20,-0.3075,-0.355,-0.3013,-0.2275,-0.255,-0.205
21,-0.3075,-0.3035,-0.305,-0.2575,-0.25,-0.2025
22,-0.3,-0.31,-0.3,-0.3225,-0.2525,-0.2
23,-0.26,-0.2525,-0.2975,-0.42,-0.2525,-0.205
24,-0.2525,-0.255,-0.3075,-0.4238,-0.2525,-0.2
25,-0.3075,-0.3025,-0.41,-0.435,-0.435,-0.1025
26,-0.2,-0.25,-0.405,-0.37,-0.345,-0.0725
27,-0.15,-0.2525,-0.405,-0.375,-0.35,-0.3225
28,-0.1513,-0.2525,-0.4075,-0.3275,-0.2775,
29,-0.205,-0.3,-0.405,-0.28,-0.1075,
30,-0.2,-0.3225,-0.4025,-0.355,-0.1025,
31,-0.205,-0.325,-0.405,-0.3525,-0.1025,
32,-0.2075,-0.3388,-0.3525,-0.355,-0.2225,-0.36
33,-0.295,-0.4025,-0.45,-0.3925,-0.335,
34,-0.35,-0.405,-0.555,-0.4075,-0.33,
35,-0.4025,-0.4575,-0.55,-0.55,-0.31,-0.4575
36,-0.4025,-0.46,-0.6,-0.5525,-0.305,-0.595
37,,-0.4575,-0.6325,-0.5775,-0.2275,-0.8325
38,,-0.4575,-0.55,-0.56,-0.18,-0.9525
39,,-0.4525,-0.525,-0.475,-0.15,-0.955
40,,-0.405,-0.52,-0.43,-0.07,-0.9513
41,,-0.3525,-0.4525,-0.4325,-0.045,-0.9525
42,,-0.31,-0.4525,-0.3375,-0.0225,-0.7575
43,,-0.2975,-0.4525,-0.285,-0.0075,-0.7025
44,,-0.305,-0.3063,-0.2875,0.0200,-0.7025
45,,-0.3025,-0.4075,-0.3,-0.0225,-0.62
46,,-0.3025,-0.4,-0.275,-0.0175,-0.5975
47,,-0.3075,-0.4025,-0.2825,-0.0025,-0.6025
48,,-0.3025,-0.3575,-0.2825,-0.0275,-0.5775
