"PATTONSBURG MO - MFA - GRAND RIVER GROUP - Corn Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.4475,-0.54,-0.6175,
2,-0.45,-0.5375,-0.6225,
3,-0.45,-0.54,-0.6225,-0.34
4,-0.45,-0.54,-0.6175,-0.34
5,-0.45,-0.4925,-0.5425,-0.3425
6,-0.4475,-0.4925,-0.5375,-0.345
7,-0.4475,-0.4875,-0.5375,-0.3825
8,-0.4475,-0.495,-0.54,-0.375
9,-0.555,-0.5725,-0.59,-0.3825
10,-0.455,-0.5675,-0.5925,-0.3775
11,-0.4525,-0.57,-0.595,-0.42
12,-0.4475,-0.565,-0.5763,-0.455
13,-0.4475,-0.55,-0.5675,-0.4575
14,-0.4475,-0.55,-0.57,-0.4475
15,-0.4525,-0.55,-0.5675,-0.5175
16,-0.4475,-0.545,-0.57,-0.525
17,-0.394,-0.59,-0.6475,-0.515
18,-0.4025,-0.5875,-0.6525,-0.5175
19,-0.405,-0.5925,-0.655,-0.5175
20,-0.3975,-0.585,-0.6513,-0.5225
21,-0.3975,,-0.575,-0.57
22,-0.4,-0.5,-0.58,-0.5888
23,-0.4,-0.5025,-0.5775,-0.605
24,-0.4025,-0.505,-0.5775,-0.6
25,-0.3975,-0.4825,-0.62,-0.605
26,-0.4,-0.47,-0.625,-0.4975
27,-0.4,-0.4625,-0.615,
28,-0.4013,-0.4625,-0.6175,
29,-0.245,-0.5,,
30,-0.25,-0.3025,-0.6025,
31,-0.245,-0.295,-0.605,
32,-0.2475,-0.2988,-0.6025,
33,-0.425,,-0.67,
34,-0.4,,-0.665,
35,-0.4025,,-0.67,-0.6375
36,-0.4025,,-0.67,-0.67
37,,-0.4475,-0.6325,-0.675
38,,-0.4475,-0.63,-0.68
39,,-0.4525,-0.635,-0.6825
40,,-0.45,-0.63,-0.6775
41,,-0.4525,-0.6325,-0.685
42,,-0.45,-0.6325,-0.6775
43,,-0.4475,-0.6325,-0.65
44,,-0.455,-0.5613,-0.645
45,,-0.4525,-0.7875,-0.6525
46,,-0.4425,-0.57,-0.6525
47,,-0.4475,-0.5725,
48,,-0.4525,-0.5675,
