"ROCK PORT MO - BARTLETT SPECIALTY GRAIN - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.2675,-0.3,-0.3275,-0.1825,,-0.205
2,-0.27,-0.2975,-0.3325,-0.18,,-0.12
3,-0.27,-0.3,-0.3325,-0.1775,,-0.1475
4,-0.26,-0.295,-0.3775,-0.1925,,-0.1888
5,-0.25,-0.3025,-0.4025,-0.2,,-0.1925
6,-0.2475,-0.2925,-0.4175,-0.19,,-0.25
7,-0.2475,-0.2975,-0.4175,-0.1925,,-0.2475
8,-0.1975,-0.325,-0.41,-0.195,,-0.245
9,-0.295,-0.3825,-0.45,-0.2625,,-0.4
10,-0.265,-0.3875,-0.4725,-0.265,,-0.405
11,-0.2625,-0.38,-0.465,-0.2325,,-0.4075
12,-0.2775,-0.365,-0.4063,-0.2375,,-0.405
13,-0.2375,-0.34,-0.3875,-0.22,,-0.3775
14,-0.2375,-0.32,-0.35,-0.235,,-0.3325
15,-0.2425,-0.28,-0.3475,-0.2775,,-0.305
16,-0.2475,-0.245,-0.29,-0.2975,,-0.2725
17,,-0.34,-0.3675,-0.3075,,-0.28
18,-0.2225,-0.3375,-0.3725,-0.305,,-0.275
19,-0.215,-0.3025,-0.305,-0.345,,-0.225
20,-0.2975,-0.295,-0.3113,-0.2975,,-0.145
21,-0.2975,-0.3035,-0.375,-0.2975,,-0.1525
22,-0.3,-0.25,-0.4,-0.3225,,-0.08
23,-0.35,-0.2525,-0.3575,-0.32,,-0.075
24,-0.3325,-0.155,-0.3275,-0.3138,,
25,-0.3875,-0.2525,-0.42,-0.285,,-0.1125
26,-0.32,-0.2,-0.475,-0.3,,
27,-0.32,-0.2025,-0.475,-0.285,,-0.1825
28,-0.3213,-0.2025,-0.4475,-0.2375,,
29,,-0.2,-0.405,-0.25,,
30,-0.2,-0.2325,-0.4125,-0.215,,
31,-0.205,-0.225,-0.345,-0.2925,,
32,,-0.2188,-0.3525,-0.28,,
33,,-0.3725,-0.44,-0.3925,,
34,,-0.355,-0.425,-0.3975,,
35,,-0.3675,-0.45,-0.44,,
36,,-0.39,-0.45,-0.4525,,
37,,-0.3775,-0.4525,-0.4375,,
38,,-0.3775,-0.45,-0.44,,
39,,-0.3825,-0.445,-0.495,,
40,,-0.355,-0.45,-0.5,,
41,,-0.3025,-0.4525,-0.4525,,
42,,-0.26,-0.4525,-0.4475,,
43,,-0.2675,-0.3825,-0.445,,
44,,-0.255,-0.3263,-0.3275,,
45,,-0.3525,-0.4075,-0.37,,
46,,-0.3025,-0.41,-0.365,,-0.3975
47,,-0.2975,-0.3825,-0.3725,,
48,,-0.3025,-0.3775,-0.3725,,
