"SAINT JOSEPH MO - LIFELINE FOODS - Corn Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.0975,-0.15,-0.1975,0.0275,-0.1625,-0.045
2,-0.07,-0.1775,-0.2025,,-0.16,0.0500
3,-0.07,-0.18,-0.2025,0.0025,-0.67,-0.0475
4,-0.06,-0.145,,-0.0525,-0.1425,-0.0488
5,-0.05,-0.2125,-0.2425,-0.06,-0.135,0.0075
6,-0.0575,-0.2125,,-0.03,-0.1175,-0.06
7,-0.0375,-0.2475,,-0.0325,-0.0475,-0.1375
8,-0.0075,-0.245,,-0.065,-0.0275,-0.155
9,-0.065,-0.3025,-0.33,-0.0625,-0.065,-0.25
10,-0.065,-0.2475,-0.3525,,-0.07,-0.265
11,-0.0725,-0.27,,-0.0525,-0.0675,-0.2575
12,-0.1475,-0.215,-0.2663,-0.0475,-0.05,-0.315
13,-0.1375,-0.22,-0.2175,-0.05,-0.0575,-0.2975
14,-0.1175,-0.2,-0.21,,-0.0325,-0.2725
15,-0.0825,-0.16,-0.1975,,-0.03,-0.285
16,0.0425,-0.095,-0.17,,0.0037,-0.2375
17,0.0160,-0.16,-0.2275,,0.0425,-0.2
18,-0.0025,-0.1475,-0.1825,-0.275,0.0275,-0.195
19,-0.015,-0.1225,-0.145,-0.435,0.0200,-0.105
20,-0.1525,-0.1,-0.1813,-0.2575,0.0250,-0.025
21,-0.1575,-0.0835,-0.195,-0.2575,0.0200,-0.0025
22,-0.17,-0.08,-0.3,-0.2325,0.0475,0.0100
23,-0.15,-0.0425,-0.3175,-0.23,0.0475,0.0450
24,-0.0825,-0.035,-0.2375,-0.1938,0.0875,0.0400
25,-0.0575,-0.0725,,-0.155,-0.195,0.0775
26,0.0000,-0.03,-0.395,-0.16,-0.155,-0.0525
27,0.0700,-0.0025,,-0.145,-0.2,-0.1025
28,0.0587,-0.0025,-0.3975,-0.1575,-0.1475,-0.165
29,0.0350,-0.03,-0.315,-0.16,-0.0975,-0.1225
30,0.0700,-0.1025,-0.2925,-0.195,-0.0625,-0.08
31,0.1250,-0.045,-0.245,-0.1725,-0.0325,-0.005
32,0.1325,-0.0488,-0.2125,-0.18,-0.1025,0.0100
33,0.0250,,-0.35,-0.3025,-0.095,-0.09
34,-0.01,-0.235,-0.345,-0.2975,-0.12,0.0225
35,-0.0625,-0.2475,-0.42,-0.3,-0.24,-0.0475
36,-0.1225,-0.3,-0.45,-0.3225,-0.275,-0.345
37,,-0.3675,-0.4025,-0.3975,-0.3175,-0.5125
38,,-0.2975,-0.45,,-0.32,-0.6525
39,,-0.2825,-0.405,-0.435,-0.27,-0.595
40,,-0.175,-0.41,-0.44,-0.16,-0.6613
41,,-0.1025,-0.3525,-0.4025,-0.135,-0.7025
42,,-0.04,-0.3325,,-0.0425,
43,,-0.0375,-0.2225,-0.215,0.0825,-0.4325
44,,0.0050,-0.1113,-0.1675,0.0800,-0.3025
45,,-0.1025,-0.2175,-0.19,-0.0025,-0.35
46,,-0.1025,-0.2,-0.205,0.0125,-0.2775
47,,-0.1275,-0.2025,-0.2025,0.0075,-0.2325
48,,-0.1025,-0.1975,,0.0025,-0.2175
