"BETHANY MO - GFG AG SERVICES-WEST - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.82,-0.7075,-0.7925,
2,-0.79,-0.75,-0.795,
3,-0.795,-0.7475,-0.8425,
4,-0.8,-0.68,-0.845,
5,-0.7475,-0.66,,
6,-0.695,-0.6725,-0.8475,
7,-0.695,-0.6625,-0.8425,
8,-0.645,-0.66,-0.8475,
9,-0.73,-0.7625,-0.9475,
10,-0.67,-0.7625,-0.8975,
11,-0.665,-0.7675,-0.9,
12,-0.665,-0.78,-0.7988,
13,-0.7475,-0.6925,-0.7125,
14,-0.7,-0.6975,-0.6975,
15,-0.7,-0.6475,-0.6725,
16,-0.7025,-0.645,-0.6775,
17,-0.8175,-0.8,-0.6925,
18,-0.6475,-0.6975,-0.6425,
19,-0.645,-0.5975,-0.636,
20,-0.6975,-0.5213,-0.5963,
21,-0.7475,-0.4925,-0.5875,
22,-0.75,-0.5,-0.5475,
23,-0.7925,-0.495,-0.5475,
24,-0.7925,-0.445,-0.53,
25,-0.8275,-0.4925,,
26,-0.795,-0.5,-0.5975,
27,-0.695,-0.4425,-0.5975,
28,-0.7,-0.4475,-0.5975,
29,-0.67,-0.645,-0.68,
30,-0.675,-0.5875,-0.62,
31,-0.675,-0.635,-0.6375,
32,-0.6675,-0.6675,-0.58,
33,-0.795,-0.85,-0.7,
34,-0.815,-0.85,-0.695,
35,-0.7975,-0.8,-0.7,
36,-0.8425,-0.85,-0.795,
37,-0.8475,-0.795,-0.7925,
38,-0.8475,-0.7425,-0.8025,
39,-0.8,-0.7475,-0.7725,
40,-0.7975,-0.7925,-0.745,
41,,-0.895,-0.8725,
42,,-0.645,-0.875,
43,,,-0.8525,
44,,-0.645,-0.7638,
45,,-0.645,-0.6975,
46,,-0.7,-0.6925,
47,,-0.7,-0.7,
48,,-0.7,-0.695,
