"BETHANY MO - MFA - GRAND RIVER GROUP - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.83,-0.6975,-0.8525,
2,-0.8,-0.79,-0.845,
3,-0.805,-0.7875,-0.8525,-0.3275
4,-0.8,-0.79,-0.855,-0.33
5,-0.8475,-0.74,-0.8275,-0.335
6,-0.855,-0.7425,-0.8275,-0.3275
7,-0.845,-0.7425,-0.8325,-0.384
8,-0.805,-0.74,-0.8275,-0.3775
9,-0.92,-0.7825,-0.9375,-0.385
10,-0.8,-0.7825,-0.9275,-0.3813
11,-0.805,-0.7775,-0.93,-0.44
12,-0.805,-0.78,-0.8288,-0.4675
13,-0.7475,-0.7825,-0.7625,-0.4575
14,-0.75,-0.7775,-0.7575,-0.62
15,-0.75,-0.6475,-0.7625,-0.67
16,-0.7525,-0.645,-0.7575,-0.6725
17,-0.7975,-0.7,-0.6925,-0.6725
18,-0.7975,-0.6975,-0.6925,-0.665
19,-0.795,-0.6975,-0.686,-0.6275
20,-0.7975,-0.7013,-0.6913,-0.7575
21,-0.7975,,-0.6275,-0.76
22,-0.8,-0.5,-0.6275,-0.655
23,-0.8025,-0.505,-0.6275,-0.565
24,-0.8025,-0.495,-0.63,-0.5675
25,-0.8475,,-0.5975,-0.5025
26,-0.845,-0.5,-0.5975,-0.8175
27,-0.855,-0.5025,-0.5975,
28,-0.85,-0.4975,-0.5975,
29,-0.8,-0.495,,
30,-0.805,-0.5975,-0.62,
31,-0.795,-0.605,-0.6575,
32,-0.7975,-0.6025,-0.625,
33,-0.895,,-0.69,
34,-0.905,,-0.685,
35,-0.8975,,-0.69,-0.6775
36,-0.9025,,-0.695,-0.675
37,-0.7475,-0.795,-0.7925,-0.655
38,-0.7475,-0.8025,-0.7925,-0.73
39,-0.75,-0.7975,-0.7925,-0.805
40,-0.7975,-0.8513,-0.755,-0.92
41,,-0.905,-0.9025,-0.8975
42,,-0.745,-0.905,-0.9025
43,,-0.65,-0.9325,-0.8
44,,-0.655,-0.8588,-0.8
45,,-0.655,-0.8575,-0.7975
46,,-0.65,-0.8625,-0.7975
47,,-0.7,-0.86,
48,,-0.7,-0.855,
