"BRAYMER   MO - CONSUMERS - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.8,-0.6775,-0.8625,-0.3475,-0.6225,-0.3
2,-0.79,-1.37,-0.855,-0.35,-0.4925,-0.2525
3,-0.795,-0.6975,-0.8025,-0.36,-0.495,-0.25
4,-0.75,-0.7,-0.795,-0.37,-0.4525,-0.265
5,-0.7475,-0.69,-0.7975,-0.4275,-0.4,
6,-0.745,-0.7225,-0.7975,-0.43,-0.4175,-0.39
7,-0.765,-0.2525,-0.7925,-0.435,-0.3275,-0.4625
8,-0.615,-0.74,-0.7975,-0.4275,-0.3575,-0.4525
9,-0.78,-0.8825,-0.8275,-0.454,-0.3525,-0.555
10,-0.69,-0.8325,-0.8275,-0.4975,-0.3575,-0.57
11,-0.695,-0.8875,-0.83,-0.445,-0.37,-0.3925
12,-0.695,-0.78,-0.8138,-0.5212,-0.3475,-0.33
13,-0.7075,-0.7925,-0.7825,-0.56,-0.3475,-0.1925
14,-0.69,-0.6775,-0.6975,-0.5575,-0.335,-0.3025
15,-0.73,-0.6875,-0.6925,-0.5575,-0.35,-0.2875
16,-0.6825,-0.675,-0.7075,-0.71,-0.34,-0.1963
17,-0.7575,-0.76,-0.8025,-0.8,-0.405,-0.0925
18,-0.7775,-0.6075,-0.7825,-0.7725,-0.3725,-0.0575
19,-0.785,-0.5975,-0.786,-0.7725,-0.2625,0.0175
20,-0.8375,-0.7563,-0.7113,-0.695,-0.26,-0.06
21,-0.8375,-0.4425,-0.5575,-0.7475,-0.2325,-0.385
22,-0.73,-0.49,-0.5575,-0.7575,-0.105,-0.335
23,-0.8325,-0.385,-0.3975,-0.78,-0.1,-0.31
24,-0.7825,-0.525,-0.4,-0.55,-0.2575,-0.1975
25,-0.7775,-0.3825,-0.4375,-0.495,-0.2975,0.4725
26,-0.625,-0.41,-0.5975,-0.4975,-0.0475,0.4450
27,-0.625,-0.2325,-0.5875,-0.3625,-0.2225,0.4275
28,-0.695,-0.2475,-0.6375,-0.3975,-0.3287,0.4725
29,-0.72,-0.315,-0.67,-0.475,-0.0575,1.0350
30,-0.895,-0.3075,-0.56,-0.345,-0.055,1.0650
31,-0.885,-0.285,-0.5775,-0.435,-0.145,0.7325
32,-0.7575,-0.7375,-0.57,-0.4137,-0.09,1.9725
33,-0.885,-0.93,-0.61,-0.195,-0.18,3.0000
34,-0.825,-0.71,-0.985,-0.2475,-0.1425,2.0125
35,-0.9375,-1.05,-0.99,-0.305,-0.5125,
36,-0.9325,-0.85,-0.855,-0.805,-0.7638,-0.8475
37,-0.9375,-0.865,-0.8525,-0.8075,-0.66,-0.8475
38,-0.9375,-0.9125,-0.8625,-0.795,-0.555,-0.82
39,-0.93,-0.9175,-0.8025,-0.855,-0.45,-0.845
40,-0.8075,-0.8913,-0.795,-0.84,-0.455,-0.8488
41,,-0.885,-0.9125,-0.945,-0.39,-0.8725
42,,-0.855,-0.915,-0.94,-0.3575,-0.8175
43,,-0.84,-0.8425,-0.8975,-0.3975,-0.7475
44,,-0.795,-0.7888,-0.8925,-0.3425,-0.6
45,,-0.735,-0.7975,-0.84,-0.3425,-0.5025
46,,-0.75,-0.7825,-0.84,-0.4275,-0.51
47,,-0.59,-0.79,-0.7775,-0.365,-0.52
48,,-0.69,-0.695,-0.7675,-0.3813,-0.5775
