"BROOKFIELD MO - MFA - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.97,-0.6575,-0.7425,-0.3475,-0.5025,
2,-0.95,-0.75,-0.745,-0.3,-0.4525,-0.09
3,-0.945,-0.6975,-0.9025,-0.3,-0.425,-0.145
4,-0.95,-0.775,-0.855,-0.3,,0.0775
5,-0.9475,-0.8,-0.7975,-0.2975,-0.46,-0.25
6,-0.855,-0.7525,-0.7975,-0.3,-0.3475,-0.3025
7,-0.845,-0.8525,-0.8025,-0.505,-0.2975,
8,-0.845,-0.85,-0.7975,-0.4975,-0.2975,-0.305
9,-1,-0.9025,-0.9075,-0.494,-0.3125,-0.16
10,-0.8,-1.0025,-0.7975,-0.4975,-0.3175,-0.1525
11,-0.805,-0.9975,-0.75,-0.495,-0.32,-0.15
12,-0.805,-1,-0.7488,-0.5763,-0.3175,-0.1025
13,-0.8475,-0.8525,-0.7025,-0.6,,-0.2825
14,-0.85,-0.7975,-0.6975,-0.6475,-0.225,-0.2975
15,-0.85,-0.7975,-0.7025,-0.5075,-0.22,-0.305
16,-0.8525,-0.695,-0.6975,-0.7,-0.2,-0.1025
17,-0.9475,-0.71,-0.7025,-0.75,-0.275,-0.0475
18,-0.8975,-0.7875,-0.6525,-0.7525,-0.2725,-0.0525
19,-0.895,-0.7475,-0.596,-0.7525,-0.2725,
20,-0.8225,-0.7513,-0.6513,-0.695,-0.27,-0.195
21,-0.8475,-0.7025,-0.5475,-0.6975,-0.1425,-0.195
22,-0.85,-0.7,-0.5975,-0.5475,-0.155,-0.25
23,-0.8025,-0.555,-0.5975,-0.65,-0.15,-0.2875
24,-0.8025,-0.495,-0.65,-0.575,-0.1975,0.4125
25,-0.7975,-0.5525,-0.6475,-0.435,,0.1850
26,-0.695,-0.6,-0.6975,-0.4775,-0.0775,0.2475
27,-0.655,-0.5525,-0.6975,-0.4125,-0.2025,0.2500
28,-0.7,-0.5475,-0.6475,-0.3875,-0.0975,0.8850
29,-0.87,-0.745,-0.68,-0.375,-0.0475,1.0350
30,-0.775,-0.7875,-0.58,-0.195,0.0650,0.7325
31,-0.725,-0.685,-0.5675,-0.245,0.0050,1.2325
32,-0.7675,-0.8025,-0.535,-0.2387,-0.15,
33,-0.895,-1.05,-0.8,-0.345,-0.3,
34,-0.905,-1.05,-0.805,-0.3975,-0.3025,0.8450
35,-0.7975,-1.05,-0.85,-0.445,-0.4125,
36,-0.8025,-1,-1.005,-0.595,-0.6475,
37,-0.7975,-0.995,-1.0025,-0.8475,-0.65,-0.75
38,-0.7975,-1.0025,-0.9025,-0.845,-0.595,-0.745
39,-0.7,-0.9475,-0.9025,-0.855,-0.6,-0.7788
40,-0.6975,-1.0163,-0.945,-0.85,-0.555,-0.7325
41,,-1.005,-1.0525,-0.995,-0.47,-0.6075
42,,-0.895,-0.855,-0.85,-0.3975,-0.5975
43,,-0.8,-0.7525,-0.7975,-0.3975,-0.48
44,,-0.805,-0.7488,-0.8275,,-0.4725
45,,-0.905,-0.7975,-0.8,-0.4025,-0.48
46,,-0.95,-0.8025,-0.7,-0.3775,-0.48
47,,-1,-0.75,-0.6975,-0.345,-0.51
48,,-1,-0.655,-0.6975,-0.3475,
