"BRUNSWICK MO - AGRISERVICES OF BRUNSWICK - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.75,-0.5075,-0.6225,-0.1975,-0.3525,
2,-0.75,-0.6,-0.595,-0.15,-0.3025,0.0600
3,-0.745,-0.5475,-0.6025,-0.15,-0.285,0.0050
4,-0.75,-0.5525,-0.655,-0.15,,0.2275
5,-0.6975,-0.55,-0.6475,-0.1475,-0.31,-0.1
6,-0.655,-0.5525,-0.6475,-0.15,-0.1975,-0.1525
7,-0.645,-0.5525,-0.6025,-0.205,-0.1475,
8,,,-0.5975,-0.1975,-0.1475,-0.155
9,-0.7,-0.6625,,-0.264,-0.1625,-0.01
10,-0.7,-0.7025,-0.6475,-0.2675,-0.1675,-0.0025
11,-0.645,-0.6975,-0.65,-0.265,-0.17,0.0000
12,-0.655,-0.7,-0.6475,-0.3025,-0.1675,0.0475
13,-0.6475,-0.6025,-0.5525,-0.3,,-0.1325
14,-0.65,-0.5475,-0.5475,-0.3475,-0.075,-0.1475
15,-0.65,-0.4975,-0.5525,-0.2575,-0.07,-0.145
16,-0.6525,-0.445,-0.4475,,-0.05,0.0475
17,-0.7675,-0.56,-0.5525,-0.45,-0.115,0.1025
18,-0.7475,-0.5575,-0.5525,-0.5025,-0.1225,0.0975
19,-0.745,-0.4475,-0.446,-0.4525,-0.1225,
20,-0.7525,-0.4513,-0.3525,-0.395,-0.12,-0.055
21,-0.6475,-0.4525,-0.3475,,0.0075,-0.055
22,-0.6,-0.3,-0.2975,-0.4975,-0.005,-0.1
23,-0.6025,-0.255,-0.2975,-0.5,0.0000,-0.1375
24,,-0.195,,-0.445,-0.0475,0.5625
25,-0.6475,-0.2525,-0.3575,,0.0025,0.3350
26,-0.655,-0.25,-0.3375,,0.0725,0.3975
27,-0.605,-0.2525,-0.3975,,-0.0525,0.4000
28,,-0.2475,-0.4475,,0.0525,1.0350
29,-0.57,,-0.5,,0.1025,1.1850
30,-0.575,-0.4875,-0.49,,0.2150,0.8825
31,-0.575,-0.535,-0.4175,,0.1550,
32,-0.5675,-0.5775,-0.42,,0.0000,1.9000
33,-0.695,,-0.5,-0.045,-0.15,1.5025
34,-0.705,,-0.495,-0.0975,-0.1525,0.9950
35,-0.6975,,-0.65,-0.245,-0.2625,
36,-0.7025,,,,-0.4975,
37,-0.6975,-0.845,-0.8025,-0.6975,-0.5,-0.6
38,-0.6975,-0.8525,-0.7525,-0.695,-0.445,-0.595
39,-0.6,-0.8475,-0.7525,-0.695,-0.45,-0.6287
40,-0.5975,-0.8913,-0.745,-0.7,-0.405,-0.5825
41,,-0.795,,-0.805,-0.32,-0.4575
42,,-0.745,-0.855,-0.8,-0.2475,-0.4475
43,,-0.7,-0.7525,-0.6975,-0.2475,-0.33
44,,-0.695,-0.7025,-0.7025,,-0.3225
45,,-0.695,-0.5975,-0.6,-0.2525,-0.33
46,,-0.7,-0.6025,-0.6,-0.2275,-0.33
47,,-0.7,-0.55,-0.5975,-0.195,-0.36
48,,-0.65,-0.505,,-0.1975,
