"CAMERON   MO - CAMERON COOP - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.8,-0.6575,-0.8225,-0.4475,-0.5125,
2,-0.8,-0.75,-0.805,-0.45,-0.5525,-0.26
3,-0.805,-0.7475,-0.8825,-0.45,-0.535,-0.25
4,-0.8,-0.75,-0.805,-0.45,-0.5225,-0.0425
5,-0.7975,-0.7,-0.8575,-0.4475,-0.46,-0.38
6,-0.705,-0.7025,-0.8575,-0.45,-0.4475,-0.4825
7,-0.695,-0.7025,-0.8225,-0.455,-0.3475,-0.4025
8,-0.685,,-0.8175,-0.4475,-0.3475,-0.485
9,-0.78,-0.7825,-0.8775,-0.494,-0.4925,-0.36
10,-0.78,-0.7825,-0.8775,-0.4975,-0.4975,-0.3825
11,-0.775,-0.7775,-0.88,-0.495,-0.5,-0.23
12,-0.745,-0.78,-0.8588,-0.5013,-0.4975,-0.2125
13,-0.7175,-0.7525,-0.7025,-0.5,-0.4275,-0.2825
14,-0.72,-0.6475,-0.6975,-0.4975,-0.425,-0.2475
15,-0.72,-0.6475,-0.7025,-0.4075,-0.43,-0.195
16,-0.7225,-0.645,-0.6975,-0.67,-0.405,-0.0525
17,-0.8475,-0.72,-0.7025,-0.68,-0.335,0.0025
18,-0.6975,-0.7175,-0.6525,-0.6725,-0.3325,-0.0025
19,-0.695,-0.7175,-0.646,-0.6725,-0.3325,-0.05
20,-0.7025,-0.6713,-0.7013,-0.695,-0.33,-0.355
21,-0.6975,-0.6025,-0.5475,-0.5675,-0.2225,-0.325
22,-0.7,-0.6,-0.5475,-0.7475,-0.235,-0.25
23,-0.7025,-0.605,-0.5475,-0.75,-0.17,-0.2175
24,-0.7025,-0.595,-0.55,-0.695,-0.1675,0.4625
25,-0.7475,-0.5525,-0.4975,-0.645,-0.4175,0.2850
26,-0.745,-0.55,-0.5475,-0.6475,-0.2475,0.3475
27,-0.615,-0.5525,-0.5475,-0.5825,-0.3025,0.3075
28,-0.62,-0.4475,-0.5475,-0.5375,-0.3138,1.1850
29,-0.67,-0.495,-0.55,-0.585,-0.0675,0.9550
30,-0.675,-0.5075,-0.55,-0.535,-0.065,0.4525
31,-0.665,-0.375,-0.5475,-0.585,-0.075,0.6525
32,-0.5675,-0.5275,-0.38,-0.5787,0.0600,-0.88
33,-0.695,-0.7,-0.45,-0.325,-0.1,-0.8775
34,-0.705,,-0.555,,-0.3025,-0.885
35,-0.7475,,-0.63,,-0.4025,-0.8775
36,-0.8225,,-0.695,,-0.3788,-0.8775
37,-0.7775,-0.655,-0.8025,-0.6775,-0.5,-0.84
38,-0.7775,-0.5825,-0.7825,-0.725,-0.515,-0.835
39,-0.78,-0.5775,-0.7625,-0.775,-0.65,-1.0038
40,-0.7775,-0.8313,-0.795,-0.8,-0.655,-1.0025
41,,-0.925,-0.9325,-0.905,-0.57,-0.7675
42,,-0.695,-0.805,-0.9,-0.4675,-0.6475
43,,-0.82,-0.8225,-0.8975,-0.4675,
44,,-0.825,-0.7738,-0.9025,-0.4725,-0.6425
45,,-0.755,-0.7975,-0.78,-0.4725,-0.6
46,,-0.75,-0.8025,-0.78,-0.4975,-0.6
47,,-0.75,-0.75,-0.7775,-0.465,-0.63
48,,-0.75,-0.655,-0.7575,-0.4175,
