"CANTON MO - URSA FARMERS COOP-GREGORY LANDING - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.49,-0.1275,-0.1825,
2,-0.52,-0.22,-0.215,
3,-0.645,-0.2275,-0.3225,-0.0175
4,-0.565,-0.29,-0.335,-0.02
5,-0.5275,-0.3,-0.2775,-0.005
6,-0.505,-0.2725,-0.2475,-0.0775
7,-0.465,-0.3125,-0.2125,-0.104
8,-0.395,-0.31,-0.2075,-0.0475
9,-0.48,-0.4125,-0.2675,-0.045
10,-0.39,-0.4625,-0.2875,-0.1062
11,-0.395,-0.4775,-0.26,-0.14
12,-0.535,-0.53,-0.2388,-0.1775
13,-0.4575,-0.3225,-0.2425,-0.0375
14,-0.44,-0.3075,-0.2175,-0.15
15,-0.39,-0.3075,-0.1625,-0.28
16,-0.3225,-0.255,-0.0975,-0.2925
17,-0.3775,-0.27,-0.1825,-0.3025
18,-0.3475,-0.2675,-0.1325,-0.165
19,-0.355,-0.2775,-0.106,-0.1375
20,-0.3925,-0.2713,-0.1263,-0.1775
21,-0.3275,-0.3325,-0.1275,-0.16
22,-0.32,-0.24,-0.1375,-0.04
23,-0.2825,-0.255,-0.1875,0.0550
24,-0.2525,-0.175,-0.11,0.0225
25,-0.2175,-0.1825,-0.1875,0.0675
26,-0.195,-0.21,-0.2575,0.1325
27,-0.185,-0.2525,-0.1475,0.1850
28,-0.275,-0.3075,-0.0875,0.1850
29,-0.4,-0.465,-0.08,0.0950
30,-0.345,-0.4275,-0.04,0.0825
31,-0.265,,-0.0375,0.1750
32,-0.3175,-0.5925,-0.06,-0.0175
33,-0.465,-0.75,-0.27,-0.055
34,-0.545,-0.81,-0.255,-0.325
35,-0.5375,-0.83,-0.32,-0.2375
36,-0.4725,-0.72,-0.535,-0.325
37,-0.3675,-0.685,-0.5225,-0.355
38,-0.3475,-0.6125,-0.3625,-0.53
39,-0.28,-0.5975,-0.3925,-0.485
40,-0.2175,-0.5863,-0.445,-0.24
41,,-0.505,-0.5625,-0.2075
42,,-0.325,-0.355,-0.2675
43,,-0.4,-0.3025,-0.22
44,,-0.425,-0.2788,-0.15
45,,-0.495,-0.3175,-0.1475
46,,-0.59,-0.2425,-0.1175
47,,-0.4,-0.16,
48,,-0.42,-0.165,
