"CARUTHERSVILLE MO - BUNGE NORTH AMERICA - Soybeans Basis"
"Week
","2019
","2018
","2017
"
1,-0.27,0.1825,
2,-0.22,0.0800,
3,-0.305,0.0525,
4,-0.27,-0.0075,
5,-0.1875,0.0100,
6,-0.185,-0.0025,
7,-0.155,-0.0525,
8,-0.035,0.0700,
9,-0.16,-0.1025,
10,-0.08,-0.2125,
11,-0.065,-0.1775,
12,-0.205,-0.23,
13,-0.2175,-0.0125,
14,-0.19,0.1825,
15,-0.16,-0.0375,
16,-0.0525,0.1050,
17,-0.1275,-0.01,
18,-0.0975,0.0725,
19,-0.085,0.0925,
20,0.1075,0.1637,
21,0.0725,0.0775,
22,0.2000,0.0500,
23,0.1475,0.0850,
24,0.0975,0.1450,
25,0.0925,0.1475,
26,0.1550,0.1300,
27,0.1450,0.0375,
28,0.0600,0.0925,
29,-0.15,0.0150,
30,-0.075,-0.1875,
31,-0.075,-0.085,
32,-0.1575,-0.2875,
33,,,
34,,-0.61,
35,,-0.68,
36,,-0.56,
37,-0.2275,-0.525,
38,-0.2075,-0.5225,
39,-0.1,-0.4875,
40,0.1025,-0.4513,
41,,-0.285,
42,,-0.185,
43,,-0.2,
44,,-0.225,
45,,-0.305,
46,,-0.28,
47,,-0.12,
48,,-0.14,
