"CARUTHERSVILLE MO - CGB ENTERPRISES INC - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.22,0.1925,,
2,-0.22,0.1300,,
3,-0.315,0.0825,-0.0575,
4,-0.25,-0.01,0.0125,
5,-0.1975,-0.02,0.0475,
6,-0.185,-0.0025,0.0425,
7,-0.175,-0.0025,-0.1675,
8,-0.135,0.1000,-0.0575,
9,-0.2,-0.1325,-0.05,
10,-0.2,-0.2225,-0.0688,
11,-0.195,-0.2875,,
12,-0.305,-0.17,-0.0275,
13,-0.2475,-0.0325,0.0075,0.3850
14,-0.22,0.0525,0.0825,0.3325
15,-0.22,-0.0275,0.0375,0.4475
16,-0.1025,0.0050,,0.5025
17,-0.1275,0.0500,0.1040,
18,-0.0975,0.0525,0.0887,
19,-0.115,0.1025,0.0025,
20,0.0625,0.1088,0.0025,
21,0.0625,-0.0025,-0.0575,
22,0.2400,0.0000,0.0400,
23,0.1975,0.0250,,
24,0.1475,0.0950,-0.0175,0.0650
25,0.0025,0.0475,0.1025,
26,0.0550,0.0500,0.1725,-0.025
27,0.0750,-0.0325,0.1200,-0.065
28,0.0400,0.0125,0.2100,-0.07
29,-0.12,-0.065,0.1825,
30,-0.055,-0.1175,0.2700,
31,0.0050,-0.205,-0.04,
32,-0.2075,-0.3975,0.0050,
33,-0.355,-0.55,0.0200,
34,-0.435,-0.65,-0.255,
35,-0.4175,-0.75,-0.4025,
36,-0.3625,-0.53,-0.1525,
37,,,-0.2225,
38,,-0.5225,-0.275,
39,,-0.4775,-0.1725,
40,,-0.3663,-0.305,
41,,-0.245,-0.0525,
42,,-0.175,-0.0488,
43,,-0.24,-0.0775,
44,,-0.275,-0.0725,
45,,-0.305,0.0000,
46,,-0.3,0.1350,
47,,-0.12,,
48,,-0.08,,
