"CENTER    MO - ADM - Soybeans Basis"
"Week
","2019
","2018
","2017
"
1,-0.48,-0.2075,
2,-0.55,-0.32,
3,-0.615,-0.3375,
4,-0.59,-0.38,
5,-0.5175,-0.38,
6,-0.505,-0.3925,
7,-0.485,-0.3825,
8,-0.355,-0.39,
9,-0.47,-0.4925,
10,-0.45,-0.6025,
11,-0.425,-0.5875,
12,-0.495,-0.58,
13,-0.4675,-0.4425,
14,-0.45,-0.3775,
15,-0.45,-0.4175,
16,-0.3625,-0.395,
17,-0.3475,-0.32,
18,-0.3175,-0.3175,
19,-0.355,-0.3175,
20,-0.4025,-0.2363,
21,-0.2775,-0.3425,
22,-0.26,-0.34,
23,-0.2325,-0.285,
24,-0.2325,-0.245,
25,-0.2275,-0.2525,
26,-0.165,-0.28,
27,-0.255,-0.2325,
28,-0.305,-0.2775,
29,-0.47,-0.415,
30,-0.345,-0.4075,
31,-0.195,-0.395,
32,-0.3575,-0.4325,
33,-0.545,-0.56,
34,-0.615,-0.51,
35,-0.6475,-0.54,
36,-0.5925,-0.44,
37,-0.3975,-0.665,
38,-0.4175,-0.5425,
39,-0.32,-0.5875,
40,-0.3175,-0.6763,
41,,-0.545,
42,,-0.425,
43,,-0.45,
44,,-0.445,
45,,-0.545,
46,,-0.63,
47,,-0.44,
48,,-0.4,
