"CENTER MO - ADM QUINCY - Soybeans Basis"
"Week
","2017
","2016
","2015
","2014
"
1,-0.3225,0.0625,-0.1625,-0.04
2,-0.005,0.0600,-0.2225,-0.0425
3,-0.5025,0.0600,,-0.08
4,-0.455,-0.07,-0.1925,-0.17
5,,-0.0975,-0.11,-0.0325
6,,-0.07,-0.0975,-0.17
7,,-0.075,0.0325,-0.1725
8,,-0.1275,-0.0475,-0.1625
9,-0.4375,-0.224,-0.0625,-0.165
10,-0.4375,-0.1875,-0.1275,-0.26
11,-0.38,-0.115,-0.11,-0.2025
12,-0.3788,-0.1863,-0.1075,-0.08
13,-0.3425,-0.26,-0.1075,-0.1725
14,-0.2875,-0.2275,-0.105,-0.1525
15,-0.2925,-0.1075,-0.03,-0.0775
16,-0.2375,-0.16,0.0050,-0.1063
17,-0.3225,-0.37,0.0650,-0.0525
18,-0.2325,-0.3825,0.0675,0.1325
19,-0.206,-0.3525,0.0875,0.0475
20,-0.1963,-0.265,0.1200,0.0500
21,-0.1575,-0.2275,0.1475,-0.105
22,-0.2375,-0.3475,0.0750,-0.115
23,-0.2575,-0.23,0.0900,-0.17
24,-0.2,-0.035,0.0625,-0.0175
25,-0.2875,,0.0725,0.8225
26,-0.3675,-0.0175,0.2825,0.7650
27,-0.2175,0.0675,0.1575,0.4675
28,-0.1275,0.0325,0.1862,0.3475
29,-0.16,0.0750,0.4225,2.2750
30,-0.08,0.1050,0.1350,1.2150
31,-0.0575,0.0450,0.1150,1.1025
32,-0.135,-0.0687,0.2200,0.8625
33,-0.41,-0.335,,1.1800
34,-0.495,-0.1675,,0.4325
35,-0.47,-0.075,,1.6750
36,-0.705,0.0650,,-0.3675
37,-0.3225,,-0.19,-0.5675
38,-0.5625,,-0.185,-0.32
39,-0.5625,,-0.25,-0.325
40,-0.605,,-0.175,-0.5487
41,-0.6025,-0.655,-0.06,-0.6025
42,-0.505,-0.67,0.0125,-0.5875
43,-0.3925,-0.4375,0.0125,-0.4875
44,-0.3588,-0.4625,-0.0125,-0.29
45,-0.4075,-0.39,-0.0025,-0.2225
46,,-0.23,-0.0075,-0.25
47,,-0.2275,0.0350,-0.27
48,,-0.2375,0.0137,-0.3375
