"CHARLESTON MO - BIRDS POINT TERMINAL - Soybeans Basis"
"Week
","2016
","2015
","2014
"
1,0.2725,0.2675,0.6500
2,0.3100,0.2975,0.7975
3,0.2800,0.2850,0.7400
4,0.3000,0.3075,0.5050
5,0.1825,0.3000,0.4875
6,0.1300,0.3525,0.4000
7,0.1650,,0.5175
8,0.0325,0.4025,0.1875
9,0.0160,0.1975,0.2750
10,0.0525,0.1825,0.1200
11,0.0550,0.1500,0.2675
12,-0.0563,0.2725,0.3500
13,,0.2025,0.1775
14,,0.1050,0.1375
15,,0.1200,0.2025
16,,0.2100,0.1838
17,,0.3250,0.1775
18,,0.3475,0.3525
19,,0.2975,0.3275
20,,0.2400,0.2700
21,,0.2475,0.2050
22,,0.2550,0.2050
23,,0.2500,0.2000
24,,0.2825,0.2325
25,,0.3125,1.0825
26,,0.5125,0.9550
27,,0.2475,
28,,0.2163,0.5275
29,,0.0025,1.4050
30,,0.0650,0.0250
31,,0.1650,-0.1675
32,,0.2500,-0.4675
33,,0.0500,0.0600
34,,0.1375,0.4025
35,,0.1075,-0.035
36,,0.1163,-0.0375
37,,0.1400,-0.2075
38,,0.2050,0.1500
39,,0.0200,0.3650
40,,0.1650,0.2413
41,,0.1900,0.2875
42,,0.2925,0.0425
43,,0.2225,0.2725
44,,0.2075,0.4400
45,,0.2275,0.4475
46,,0.1725,0.3400
47,,0.2450,0.3500
48,,0.2225,0.2800
