"CHILLICOTHE MO - MFA AGRI SERVICES - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.97,-0.7075,-0.8425,
2,-0.9,-0.8,-0.845,
3,-0.945,-0.7475,-1.0025,
4,-0.925,-0.8,-0.955,
5,-0.8975,-0.8,-0.8975,
6,-0.855,-0.8025,-0.8975,
7,-0.845,-0.8025,-0.9025,-0.6
8,-0.805,-0.8,-0.9475,-0.6475
9,-0.95,-0.9025,-1.0575,-0.6075
10,-0.8,-0.9225,-0.9975,-0.75
11,-0.805,-0.8975,-0.95,-0.8
12,-0.805,-0.9,-0.8988,-0.8525
13,-0.8475,-0.9025,-0.8525,-0.8025
14,-0.8,-0.7975,-0.8975,-0.745
15,-0.8,-0.7475,-0.9025,-0.7475
16,-0.7525,-0.695,-0.8975,-0.6975
17,-0.8475,,-0.8525,-0.8
18,-0.8975,-0.7475,-0.8025,-0.67
19,-0.895,-0.6975,-0.746,-0.585
20,-0.8225,-0.7013,-0.8013,-0.5775
21,-0.8975,-0.6525,-0.6975,-0.5125
22,-0.85,-0.7,-0.6475,-0.5375
23,-0.8525,-0.605,-0.6475,-0.485
24,-0.8525,-0.645,-0.7,-0.395
25,-0.8475,-0.7025,-0.7475,-0.445
26,-0.845,-0.6,-0.7975,-0.4137
27,-0.805,-0.6025,-0.7975,-0.295
28,-0.8,-0.5975,-0.7475,-0.2975
29,-0.87,-0.595,-0.78,-0.345
30,-0.825,-0.6975,-0.68,-0.655
31,-0.775,,-0.6675,
32,-0.7675,-0.7525,-0.635,
33,-0.895,-0.95,-0.8,
34,-0.855,-0.9,-0.845,
35,-0.8475,-0.9,-0.75,-1.055
36,-0.8525,-0.9,-0.855,-1
37,-0.8475,-0.905,-0.8525,-0.8975
38,-0.8475,-0.9025,-0.8525,-0.9275
39,-0.8,-0.8475,-0.8025,-0.9
40,-0.7975,-0.9163,-0.845,-0.8
41,,-0.905,-0.9625,-0.7975
42,,-0.845,-0.905,-0.7975
43,,-0.8,-0.9025,
44,,-0.805,-0.8988,
45,,-0.805,-0.7975,
46,,-0.8,-0.8025,
47,,-0.85,-0.8,
48,,-0.85,-0.755,
