"DUDLEY MO - ADM GRAIN - Soybeans Basis"
"Week
","2018
","2017
","2016
","2015
","2014
"
1,-0.1575,-0.2425,0.0625,-0.1025,0.3200
2,-0.25,-0.245,0.1400,-0.0325,0.4975
3,-0.2475,-0.4025,0.0000,0.0050,0.3500
4,-0.3,-0.405,0.0000,-0.0525,0.0800
5,,,-0.0975,0.0000,0.0875
6,,,-0.12,0.0525,0.0000
7,,,-0.125,0.0525,-0.0025
8,,,-0.1975,0.0525,-0.1525
9,,,-0.234,,-0.195
10,,-0.3975,-0.1975,-0.1475,-0.28
11,,-0.4,-0.195,-0.2,-0.1025
12,,-0.3788,-0.2513,-0.0975,-0.1
13,,-0.3825,-0.3,-0.1475,-0.2025
14,,-0.3975,-0.2475,-0.195,-0.2025
15,,-0.3525,-0.1575,-0.15,-0.1475
16,,-0.3475,,-0.095,-0.1713
17,,-0.3225,,-0.255,-0.0525
18,,-0.2825,-0.3525,0.0175,0.0025
19,,-0.276,-0.4525,-0.0525,-0.0025
20,,-0.2813,-0.345,-0.05,0.0000
21,,-0.2975,-0.2275,-0.0425,-0.095
22,,-0.3475,-0.2475,-0.055,-0.105
23,,-0.3675,-0.25,0.0500,-0.1
24,,-0.25,-0.055,-0.0475,-0.0975
25,,,0.0450,-0.0175,0.7525
26,,-0.3975,,0.1825,0.5750
27,,-0.2775,,-0.0825,0.3975
28,,-0.1475,,-0.2288,-0.0675
29,,-0.07,0.1650,-0.0975,0.3350
30,,-0.18,0.1050,-0.235,-0.075
31,,-0.2175,0.1050,-0.195,-0.5675
32,,-0.165,-0.0137,-0.1,-0.5175
33,,-0.25,0.1550,-0.29,0.1000
34,,-0.245,-0.0975,-0.2325,0.1025
35,,-0.4,-0.095,-0.1625,-0.245
36,,-0.605,-0.095,-0.2237,-0.9475
37,,-0.6025,,,-0.5975
38,,-0.5025,,,-0.25
39,,-0.5525,,,-0.095
40,,-0.545,,,-0.1737
41,,-0.5025,-0.495,,-0.0825
42,,-0.505,-0.35,0.0025,0.0025
43,,-0.3525,-0.2975,0.0025,-0.0975
44,,-0.3488,-0.4025,-0.0525,0.0500
45,,-0.3275,-0.33,-0.0025,0.0975
46,,-0.4525,-0.15,-0.0775,0.0200
47,,-0.4,-0.1475,-0.045,-0.05
48,,-0.305,-0.1475,-0.0213,-0.0975
