"GALLATIN  MO - MFA AGRI SERVICE - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
"
1,-0.83,-0.6975,-0.8525,-0.3675,
2,-0.8,-0.79,-0.845,-0.37,
3,-0.805,-0.7875,-0.8525,-0.37,
4,-0.8,-0.79,-0.855,-0.37,
5,-0.8475,-0.74,-0.8275,-0.3275,
6,-0.855,-0.7425,-0.8275,-0.33,
7,-0.845,-0.7425,-0.8325,-0.335,
8,-0.805,-0.74,-0.8275,-0.3275,
9,-0.92,-0.7825,-0.9275,-0.384,
10,-0.8,-0.7825,-0.9275,-0.3775,
11,-0.805,-0.7775,-0.93,-0.385,
12,-0.805,-0.78,-0.8288,-0.3813,
13,-0.7475,-0.7825,-0.7625,-0.44,
14,-0.75,-0.7775,-0.7575,-0.4675,-0.3325
15,-0.75,-0.6475,-0.7625,-0.4575,-0.3287
16,-0.7525,-0.645,-0.7575,-0.62,-0.6975
17,-0.7975,-0.7,-0.6925,-0.67,-0.685
18,-0.7975,-0.6975,-0.6925,-0.6725,-0.695
19,-0.795,-0.6975,-0.686,-0.6725,-0.6
20,-0.7975,-0.7013,-0.6913,-0.665,-0.13
21,-0.7975,,-0.6275,-0.6275,-0.3325
22,-0.8,-0.5,-0.6275,-0.7575,-0.4425
23,-0.8025,-0.505,-0.6275,-0.76,-0.4287
24,-0.8025,-0.495,-0.63,-0.655,-0.52
25,-0.8475,,-0.5975,-0.565,-0.515
26,-0.845,-0.5,-0.5975,-0.5675,-0.52
27,-0.855,-0.5025,-0.5975,-0.5025,-0.525
28,-0.85,-0.4975,-0.5975,-0.8175,-0.55
29,-0.8,-0.495,,,-0.4375
30,-0.805,-0.5975,-0.62,,-0.3275
31,-0.795,-0.605,-0.6575,,-0.3725
32,-0.7975,-0.6025,-0.625,,-0.3725
33,-0.895,,-0.69,,-0.3975
34,-0.905,,-0.685,,-0.365
35,-0.8975,,-0.69,,-0.3663
36,-0.9025,,-0.695,,
37,-0.7475,-0.795,-0.7925,-0.6775,
38,-0.7475,-0.8025,-0.7925,-0.675,
39,-0.75,-0.7975,-0.7925,-0.685,
40,-0.7975,-0.8263,-0.795,-0.73,
41,,-0.875,-0.9625,-0.805,
42,,-0.745,-0.835,-0.92,
43,,-0.75,-0.8325,-0.8975,
44,,-0.755,-0.7588,-0.9025,
45,,-0.655,-0.7575,-0.8,
46,,-0.65,-0.7625,-0.8,
47,,-0.7,-0.76,-0.7975,
48,,-0.7,-0.765,-0.7975,
