"HAMILTON MO - MFA RAIL FACILITY - Soybeans Basis"
"Week
","2019
","2018
","2017
"
1,-0.83,-0.5575,
2,-0.75,-0.6,
3,-0.745,-0.5975,
4,-0.75,-0.6,
5,-0.7475,-0.6,
6,-0.755,-0.6025,
7,-0.695,-0.6025,
8,-0.695,-0.62,
9,-0.82,-0.7225,
10,-0.75,-0.7025,
11,-0.745,-0.6975,
12,-0.745,-0.7,
13,-0.6475,-0.6025,
14,-0.65,-0.5975,
15,-0.65,-0.5975,
16,-0.6525,-0.495,
17,-0.6475,-0.6,
18,-0.6475,-0.5975,
19,-0.645,-0.5975,
20,-0.6525,-0.6013,
21,-0.7475,-0.6025,
22,-0.75,-0.6,
23,-0.7525,-0.195,
24,-0.7525,-0.195,
25,,,
26,,,
27,,,
28,,,
29,-0.62,-0.395,
30,-0.625,-0.4875,
31,-0.625,,
32,-0.6175,-0.4775,
33,-0.745,,
34,-0.755,,
35,-0.7475,,
36,-0.7525,,
37,-0.7475,,
38,-0.7475,,
39,-0.75,,
40,-0.7475,-0.83,
41,,-0.755,
42,,-0.695,
43,,-0.7,
44,,-0.695,
45,,,
46,,,
47,,,
48,,,
