"HARDIN MO - RAY-CARROLL GRAIN - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.75,-0.5075,-0.6225,-0.2075,-0.3525,0.0200
2,-0.75,-0.6,-0.595,-0.15,-0.3025,0.0475
3,-0.745,-0.5475,-0.6525,-0.15,-0.305,0.0500
4,-0.75,-0.55,-0.655,-0.15,-0.3025,0.0300
5,-0.6975,-0.55,-0.6475,-0.1575,-0.3,0.1875
6,-0.655,-0.5525,-0.6475,-0.15,-0.2075,-0.1
7,-0.645,-0.5525,-0.6225,-0.205,-0.1575,-0.1525
8,-0.655,-0.56,-0.6175,-0.2075,-0.1575,-0.1025
9,-0.7,-0.6625,-0.6675,-0.274,-0.1725,-0.155
10,-0.7,-0.7025,-0.6475,-0.2775,-0.1775,-0.06
11,-0.645,-0.6975,-0.65,-0.275,-0.17,-0.0025
12,-0.655,-0.7,-0.6238,-0.3013,-0.1775,0.0000
13,-0.6475,-0.6025,-0.5525,-0.3,-0.1075,0.0475
14,-0.65,-0.5475,-0.5475,-0.3575,-0.075,-0.1025
15,-0.65,-0.4975,-0.5525,-0.2675,-0.07,-0.1575
16,-0.6525,-0.445,-0.4475,-0.4,-0.075,-0.1713
17,-0.7675,-0.56,-0.5525,-0.45,-0.125,0.0475
18,-0.7475,-0.5575,-0.5025,-0.5025,-0.1225,0.0925
19,-0.745,-0.4475,-0.446,-0.4525,-0.1225,0.0975
20,-0.7275,-0.4513,-0.3512,-0.405,-0.07,0.1000
21,-0.6475,-0.4525,-0.3475,-0.4075,-0.0025,-0.005
22,-0.6,-0.25,-0.2975,-0.5075,-0.005,-0.055
23,-0.6025,-0.255,-0.2975,-0.5,0.0000,-0.1
24,-0.6025,-0.195,-0.3,-0.39,-0.0575,-0.1475
25,-0.6475,-0.2525,-0.3475,-0.335,-0.1375,0.5225
26,-0.595,-0.25,-0.3475,-0.2275,0.1225,0.3950
27,-0.605,-0.2525,-0.3975,-0.1625,-0.0525,0.3975
28,-0.6,-0.2475,-0.4475,-0.1875,0.1213,0.3775
29,-0.57,-0.295,-0.5,-0.235,0.1025,1.0350
30,-0.575,-0.4875,-0.43,-0.125,0.2150,1.1650
31,-0.575,-0.535,-0.3675,-0.145,0.1450,1.0825
32,-0.5675,-0.5775,-0.31,-0.2137,0.0000,1.5725
33,-0.695,,-0.5,-0.045,-0.15,1.9000
34,-0.705,,-0.495,-0.1075,-0.1525,1.4925
35,-0.6975,,,-0.255,-0.2725,0.9950
36,-0.7025,,,-0.705,-0.5037,-0.6075
37,,,,,-0.5,-0.6075
38,,,,,-0.455,-0.6
39,,,,-0.755,-0.4,-0.605
40,,-0.93,,-0.7,-0.355,-0.6038
41,,-0.795,-0.8525,-0.805,-0.32,-0.6025
42,,-0.745,-0.855,-0.8,-0.2575,
43,,-0.7,-0.7525,-0.7475,-0.2575,-0.4575
44,,-0.695,-0.6488,-0.7025,-0.2025,-0.33
45,,-0.695,-0.5975,-0.6,-0.2525,-0.3325
46,,-0.7,-0.5525,-0.6,-0.2375,-0.33
47,,-0.7,-0.55,-0.5975,-0.205,-0.33
48,,-0.65,-0.505,-0.5975,-0.2263,-0.3425
