"HARRISONVILLE MO - SCOULAR - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.95,-0.7075,-0.9525,-0.3975,-0.6025,
2,-0.89,-0.8,-0.945,-0.4,-0.6025,
3,-0.895,-0.7975,-0.9025,0.0100,-0.595,
4,-0.9,-0.725,-0.895,-0.39,-0.5525,
5,,-0.65,-0.8975,-0.3975,-0.4,
6,-0.795,-0.6525,-0.8975,-0.4,-0.3975,
7,-0.795,-0.6525,-0.9025,-0.395,-0.3975,
8,-0.795,-0.64,-0.8975,-0.3975,-0.3975,
9,-0.9,-0.7525,-0.7975,-0.394,-0.3525,
10,-0.9,-0.7525,-0.8075,-0.3975,-0.3475,
11,-0.895,-0.7475,-0.8,-0.395,-0.36,-0.105
12,-0.895,-0.75,-0.7988,-0.4013,-0.3475,-0.175
13,-0.7975,-0.6525,,-0.4,-0.3475,-0.07
14,-0.8,-0.6475,,-0.3975,-0.255,-0.2375
15,-0.8,-0.6475,,-0.0075,-0.25,0.4325
16,-0.8025,-0.645,,-0.6,-0.25,0.3050
17,-0.9275,-0.7,,-0.58,-0.245,0.2975
18,-0.7475,-0.6975,,-0.5825,-0.2525,-0.0475
19,-0.745,-0.6975,,-0.5825,-0.2525,0.7350
20,-0.7475,-0.5513,,-0.595,-0.25,0.1750
21,-0.7475,-0.5525,,-0.6075,-0.2525,0.1825
22,-0.75,-0.55,,-0.6975,-0.225,0.3825
23,-0.7425,-0.545,,-0.7,-0.25,0.1500
24,-0.7525,-0.545,,-0.605,-0.1875,0.1525
25,,-0.5425,,-0.485,-0.2975,-0.195
26,,-0.55,,-0.3775,-0.1575,-0.1975
27,,-0.5425,,-0.3125,-0.3025,-0.8675
28,,-0.5475,,-0.3375,-0.2988,-0.85
29,,-0.595,,-0.575,-0.1675,-0.855
30,,-0.5975,,-0.525,0.0650,-0.8988
31,,-0.605,,-0.545,0.0550,-0.8525
32,,-0.4775,,-0.6575,0.1000,-0.8475
33,,-0.75,,-0.685,0.0000,-0.7975
34,-0.865,-0.75,,-0.6975,-0.0025,-0.7
35,-0.8475,-0.8,,-0.845,-0.6725,-0.7025
36,-0.8525,-0.85,,-0.845,-0.6488,-0.65
37,-0.8475,,-0.8025,-0.8475,-0.65,-0.65
38,-0.8475,,-0.8025,-0.835,-0.555,-0.55
39,-0.85,,-0.8025,-0.845,-0.55,
40,-0.7475,-0.8425,-0.745,-0.8,-0.495,
41,,,-0.8025,-0.945,-0.52,
42,,-0.945,-0.795,-1,-0.3475,
43,,-0.9,-0.8025,-0.9975,-0.3475,
44,,-0.895,-0.7988,-1.0025,-0.3525,
45,,-0.845,-0.7975,-1,-0.4025,
46,,-0.85,-0.9025,-1,-0.4075,
47,,-0.85,-0.8,-0.9975,-0.495,
48,,-0.85,-0.795,-0.9975,-0.4263,
