"HOLDEN MO - HEIMAN GRAIN INC - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.97,-0.6975,-1.0025,-0.4675,-0.7625,-0.37
2,-0.97,-0.8,-0.995,-0.4,-0.7325,-0.1925
3,-0.965,-0.8375,-1.0525,-0.4,-0.675,-0.28
4,-1.055,-0.8,-0.915,-0.39,-0.6725,-0.39
5,-0.9375,-0.76,-0.9475,-0.5575,-0.57,-0.2925
6,-0.925,-0.7225,-0.8775,-0.42,-0.5775,-0.43
7,-0.795,-0.8125,-0.9125,-0.425,-0.5875,-0.6025
8,-0.795,-0.72,-0.8975,-0.3875,-0.5775,-0.6225
9,-0.92,-0.8025,-1.0075,-0.494,-0.5025,-0.655
10,-0.88,-0.8225,-1.0175,-0.5375,-0.4075,-0.64
11,-0.865,-0.8175,-0.99,-0.535,-0.47,-0.4125
12,-0.875,-0.81,-0.9638,-0.5813,-0.4375,-0.5
13,-0.8675,-0.8825,-0.9225,-0.5,-0.4475,-0.3225
14,-0.82,-0.6675,-0.9075,-0.6575,-0.465,-0.2325
15,-0.82,-0.6575,-0.9125,-0.5575,-0.46,-0.2975
16,-0.8225,-0.635,-0.7875,-0.57,-0.42,-0.3063
17,-0.9275,-0.81,-0.8425,-0.71,-0.405,-0.2925
18,-0.9075,-0.9075,-0.8725,-0.7825,-0.4025,-0.0575
19,-1.145,-0.8075,-0.966,-0.8025,-0.4125,-0.1525
20,-0.8175,-0.7713,-0.7263,-1.095,-0.4,-0.2
21,-0.8475,-0.7125,-0.7175,-0.6975,-0.3725,-0.475
22,-0.85,-0.71,-0.7275,-1.1275,-0.395,-0.525
23,-0.8425,-0.695,-0.6275,-0.79,-0.29,-0.39
24,-0.7325,-0.545,-0.74,-0.57,-0.3775,-0.1875
25,-0.7675,-0.5325,,-0.515,-0.4775,0.3025
26,-0.765,-0.31,-0.7475,-0.6575,-0.1475,0.1350
27,-0.805,-0.3225,-0.7575,-0.3625,-0.4525,-0.0025
28,-0.98,,-0.7575,-0.2975,-0.4537,-1.765
29,-0.79,-0.235,-0.68,-0.235,-0.3975,
30,-0.785,-0.2475,-0.66,-0.475,-0.355,
31,-0.775,-0.245,-0.7175,-0.475,-0.385,
32,-0.9675,-0.2175,-0.725,-0.4888,-0.27,-1.3075
33,-1.085,-0.34,-0.76,-0.655,-0.31,
34,-1.125,-0.34,-0.905,-0.5375,-0.3025,
35,-0.9675,-0.71,-0.7,-0.695,-0.5325,-0.515
36,-0.9625,-0.86,-0.845,-0.705,-0.5438,-0.6275
37,-0.9675,-0.955,-0.8225,-0.7175,-0.55,-0.7275
38,-0.8375,-0.9325,-0.8725,-0.715,-0.485,-0.81
39,-0.88,-0.9275,-0.8725,-0.775,-0.48,-0.675
40,-0.7875,-1.1913,-0.855,-0.75,-0.545,-0.8537
41,,-1.095,-0.8525,-0.905,-0.6,-0.9925
42,,-1.065,-0.885,-0.91,-0.4075,-0.8375
43,,-0.87,-0.8625,-0.9275,-0.3775,-0.7475
44,,-0.955,-0.8388,-1.0025,-0.4625,-0.77
45,,-0.965,-0.7875,-0.96,-0.5525,-0.7625
46,,-0.85,-0.8125,-0.82,-0.3875,-0.67
47,,-0.85,-0.78,-0.7875,-0.455,-0.66
48,,-0.85,-0.775,-0.7875,-0.3763,-0.6925
