"JASPER MO - JASPER GRAIN - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.96,-0.7675,-0.7225,-0.4175,,-0.18
2,-0.88,-0.75,-0.715,-0.36,-0.575,-0.1125
3,-0.845,-0.7575,-0.8025,-0.39,,-0.16
4,-0.87,-0.75,-0.785,-0.39,-0.52,-0.22
5,-0.8875,-0.7,-0.8675,0.0025,-0.5075,
6,-0.825,-0.7225,-0.7375,-0.42,-0.2675,-0.35
7,-0.785,-0.8025,-0.5825,-0.445,-0.2275,-0.3625
8,-0.785,-0.7,-0.5675,-0.4375,,-0.3325
9,-0.9,-0.8525,-0.6675,-0.454,-0.4275,-0.595
10,-0.7,-0.9025,-0.7675,-0.4375,,-0.44
11,-0.695,-0.9275,-0.76,-0.455,-0.4375,
12,-0.685,-0.88,-0.7288,-0.5,-0.4575,-0.47
13,-0.6275,-0.8525,-0.7425,-0.48,-0.385,-0.3225
14,-0.63,-0.7175,-0.7275,-0.4575,-0.35,
15,-0.62,-0.7575,-0.6025,-0.5275,-0.395,
16,-0.6125,-0.775,-0.5975,-0.54,-0.325,-0.2163
17,-0.7375,-0.75,-0.7525,-0.64,-0.2725,-0.1025
18,-0.7775,-0.7175,-0.7125,-0.6325,-0.2625,
19,-0.565,-0.7475,-0.606,-0.6125,-0.25,-0.1025
20,-0.6625,-0.6063,-0.5613,-0.605,,-0.11
21,-0.7375,-0.4525,-0.5375,-0.4975,-0.155,-0.365
22,-0.7,-0.49,-0.5175,-0.7275,-0.19,-0.265
23,-0.7825,-0.545,-0.4575,-0.69,-0.1975,-0.24
24,-0.6925,-0.435,-0.46,-0.63,-0.4175,-0.1875
25,-0.7475,-0.4525,-0.6475,-0.455,-0.0875,
26,-0.765,-0.45,-0.4975,-0.3275,,0.3250
27,-0.705,-0.4225,-0.5475,,-0.2575,0.5775
28,-0.7,-0.3975,-0.5275,-0.2675,0.0125,0.4025
29,-0.68,-0.515,-0.6,-0.415,0.0650,1.5050
30,-0.845,-0.5675,-0.41,-0.385,-0.135,
31,-0.795,-0.555,-0.5275,-0.395,-0.05,
32,-0.6875,-0.6175,-0.545,-0.5375,-0.08,0.8025
33,-0.835,-0.76,-0.78,-0.245,-0.1125,1.4500
34,-0.885,-0.76,-0.725,-0.2275,-0.1625,1.4725
35,-0.7775,-0.66,-0.73,-0.235,-0.1938,0.6250
36,-0.8025,,-0.725,,-0.46,0.2825
37,-0.8175,-0.765,-0.7425,-0.6975,-0.595,-0.4475
38,-0.8175,-0.7625,-0.7225,-0.705,,-0.43
39,-0.77,-0.8575,-0.7625,-0.725,-0.495,-0.445
40,-0.7975,-0.9013,-0.855,-0.82,,-0.7738
41,,-0.995,-1.0625,-1.035,-0.3775,-0.8925
42,,-1.005,-0.965,-0.81,-0.3975,-0.8575
43,,-0.79,-0.9925,-0.7975,-0.4825,
44,,-0.785,-0.9388,-0.8925,-0.4725,-0.77
45,,-0.825,-0.8975,-0.78,-0.4475,
46,,-0.84,-0.8625,-0.74,-0.375,
47,,-0.85,-0.86,-0.7175,-0.4175,-0.62
48,,-0.84,-0.855,-0.5775,,
