"JEFFERSON CITY MO - MFA - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,,-0.4975,-0.7125,,-0.5025,
2,-0.795,-0.57,-0.685,-0.24,-0.5025,
3,-0.805,-0.5875,-0.8525,,,
4,-0.8175,-0.66,-0.795,,,
5,-0.795,-0.64,-0.7975,,,
6,-0.805,-0.6525,-0.7575,,-0.3475,-1.155
7,-0.695,-0.7525,-0.6125,,,-0.4
8,-0.79,-0.75,-0.6275,,,-0.4825
9,-0.65,-0.8825,-0.7275,-0.5375,,
10,-0.725,-0.8725,-0.7975,,,
11,-0.725,-0.8875,-0.8,-0.46,-0.35,
12,-0.7275,-0.85,-0.6488,,,
13,-0.78,-0.7025,-0.5925,,-0.2975,
14,-0.72,-0.6475,-0.5975,,,
15,-0.7025,-0.7375,,-0.49,,
16,-0.7675,-0.695,-0.4575,-0.54,,
17,-0.6275,-0.65,-0.5325,,,
18,-0.645,-0.6375,-0.5025,,-0.1825,
19,-0.615,-0.6175,-0.506,,,
20,,-0.8813,-0.4713,-0.4475,,-0.25
21,,-0.5025,-0.4475,-0.4775,,
22,,-0.54,-0.3675,-0.51,,
23,,-0.505,-0.4075,-0.38,,
24,,-0.395,-0.47,-0.285,-0.1975,
25,,-0.3925,,,-0.1775,
26,,-0.43,-0.5775,-0.2625,0.1725,
27,,-0.4225,-0.4975,-0.3575,0.0875,
28,,-0.4275,-0.4175,-0.105,,
29,,-0.595,-0.28,-0.025,,1.1225
30,,-0.6575,-0.47,-0.095,,
31,,-0.575,-0.3675,-0.1138,0.0050,
32,,-0.6525,-0.41,-0.035,,
33,,-0.8,-0.61,-0.4275,,-0.3675
34,,-0.75,-0.745,-0.645,,-0.8375
35,,-0.56,-0.81,-0.655,,
36,-0.8975,-0.75,-0.905,-0.6975,-0.2975,
37,-0.8675,-0.845,-0.9525,-0.685,,
38,-0.9,-0.7825,-0.8925,-0.795,-0.235,-0.7925
39,-0.8975,-0.8475,-0.6425,-0.72,,
40,,-0.8813,-0.655,-0.795,-0.315,
41,,-0.775,-0.7625,-0.71,,-0.51
42,,-0.635,-0.705,-0.6975,,-0.4025
43,,-0.65,-0.7625,-0.8175,-0.2175,
44,,-0.655,-0.6488,-0.9,-0.2425,
45,,-0.735,-0.6075,-0.62,-0.2425,
46,,-0.85,-0.6225,-0.6475,,
47,,-0.75,-0.62,-0.6175,,
48,,-0.84,-0.555,,,
