"KANSAS CITY MO - CARGILL - CHOUTEAU - Soybeans Basis"
"Week
","2016
","2015
","2014
"
1,,-0.3525,0.2100
2,,-0.3525,0.2975
3,,-0.355,0.2000
4,,-0.3525,0.1150
5,,-0.3,0.1875
6,,-0.2075,-0.06
7,,-0.1575,-0.0025
8,,,-0.2025
9,,,-0.205
10,,,-0.2
11,,,-0.1025
12,,,0.0000
13,,,0.0475
14,,-0.105,0.0475
15,,,0.0425
16,,,0.0587
17,,,0.1975
18,,,0.2425
19,,,0.3275
20,,-0.03,0.2500
21,,,-0.225
22,,,-0.185
23,,,-0.07
24,,-0.1075,-0.0475
25,,,0.6225
26,,,0.5950
27,,,0.5975
28,,,0.5725
29,,,0.9850
30,,,0.8150
31,,,0.6825
32,,,1.8725
33,,,2.5000
34,,,0.4925
35,,,-0.655
36,,-0.5,-0.6575
37,,-0.5,
38,,-0.505,-0.65
39,,-0.4,-0.655
40,,-0.355,-0.7037
41,,-0.22,-0.6825
42,,-0.2075,-0.6075
43,,,-0.6075
44,,,-0.6
45,,,-0.6025
46,,,-0.45
47,,,-0.45
48,,,-0.4775
