"KANSAS CITY MO - USDA - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.48,-0.2975,-0.4525,,-0.0025,0.1500
2,,-0.4,-0.455,0.0500,-0.0025,0.1975
3,,-0.4075,-0.5225,0.0500,-0.055,0.2500
4,-0.4,-0.33,-0.505,0.0425,-0.0025,0.2150
5,-0.4075,-0.3,-0.5075,0.0500,0.0500,0.3875
6,-0.355,-0.3025,-0.4875,0.0450,0.1025,0.1000
7,-0.355,-0.3025,-0.4825,0.0425,0.1425,-0.0025
8,-0.305,-0.3,-0.4875,-0.004,0.1425,0.0475
9,-0.48,-0.4025,-0.5875,-0.0075,0.0475,-0.055
10,-0.27,-0.4025,-0.5475,-0.005,0.0925,0.0200
11,-0.325,-0.4075,-0.52,-0.0363,0.1000,0.0975
12,-0.275,-0.4,-0.4438,-0.05,0.1125,0.2800
13,-0.2675,-0.3025,-0.3525,-0.0775,0.1525,0.2975
14,-0.25,-0.3075,-0.3575,0.0025,0.1950,0.2675
15,-0.3,-0.2075,-0.3025,-0.22,0.1500,0.2625
16,-0.3025,-0.155,-0.2575,-0.22,0.1850,0.3188
17,-0.4275,-0.25,-0.3625,-0.2525,0.1950,0.4475
18,-0.2575,-0.2475,-0.3025,-0.2025,0.1975,0.4425
19,-0.255,-0.1575,-0.206,-0.205,0.2175,0.5275
20,-0.3825,-0.0763,-0.2013,-0.2075,0.2200,0.4500
21,-0.3575,-0.0525,-0.1575,-0.3575,0.2675,0.1350
22,-0.35,-0.05,-0.1575,-0.3,0.2950,0.1650
23,-0.4025,-0.055,-0.1075,-0.18,0.2800,0.2800
24,-0.4025,-0.005,-0.1,-0.155,0.2025,0.3025
25,-0.4075,-0.0525,-0.1575,-0.1575,0.1425,0.9725
26,-0.405,-0.05,-0.2575,-0.0125,0.3225,
27,-0.305,-0.0025,-0.2575,-0.0375,0.1975,0.9475
28,-0.3,-0.0075,-0.2575,-0.035,0.2113,0.9275
29,-0.28,-0.055,-0.29,0.0250,0.4025,1.6350
30,-0.275,-0.1975,-0.18,0.0550,0.5150,1.6650
31,-0.275,-0.195,-0.2275,0.0663,0.3950,1.5325
32,-0.2775,-0.3025,-0.11,0.3050,,2.8725
33,-0.405,-0.45,-0.2,0.2725,,3.5000
34,-0.425,-0.45,-0.305,0.1950,0.1975,2.4925
35,-0.4275,-0.5,-0.3,0.0950,,-0.505
36,-0.4525,-0.2,-0.305,-0.3075,0.0463,-0.0075
37,-0.4075,-0.205,-0.4525,-0.295,0.0000,-0.3575
38,-0.4075,-0.2025,-0.4525,-0.355,-0.005,-0.35
39,-0.4,-0.3575,-0.4525,-0.4,-0.15,-0.105
40,-0.3575,-0.5162,-0.475,-0.505,-0.105,-0.4038
41,,-0.455,-0.5025,-0.5,-0.02,-0.4325
42,,-0.305,-0.605,-0.5075,0.0925,-0.3075
43,,-0.3,-0.5125,-0.5025,0.0925,-0.2575
44,,-0.305,-0.3788,-0.45,0.0475,-0.15
45,,-0.305,-0.3575,-0.45,0.0475,-0.1525
46,,-0.3,-0.3525,-0.4575,-0.0075,-0.05
47,,-0.35,-0.38,-0.4575,0.0250,-0.05
48,,-0.35,-0.355,,-0.005,-0.0375
