"LACLEDE MO - ADM QUINCY - Soybeans Basis"
"Week
","2016
","2015
","2014
"
1,-0.2675,-0.4325,-0.17
2,-0.29,-0.4825,-0.1725
3,-0.29,,-0.21
4,-0.33,-0.4025,-0.3
5,-0.3775,-0.3,-0.1325
6,-0.38,-0.3475,-0.23
7,-0.385,-0.1975,-0.2325
8,-0.3775,-0.2075,-0.2225
9,,-0.3025,-0.225
10,-0.4075,-0.3275,-0.32
11,,-0.28,-0.1625
12,,-0.2375,-0.05
13,,-0.2375,-0.1425
14,,-0.245,-0.1525
15,,-0.22,-0.1375
16,,-0.08,-0.2163
17,,-0.165,-0.0925
18,,-0.1325,0.1025
19,,-0.1125,0.0175
20,,-0.08,0.0200
21,,,-0.135
22,,-0.075,-0.145
23,,,-0.2
24,,,-0.0475
25,,-0.0475,0.7925
26,,0.1925,0.5450
27,,0.0175,0.2475
28,,0.0313,0.1275
29,,0.2825,1.1550
30,,0.0150,0.9950
31,,0.0050,0.8825
32,,0.1300,0.5925
33,,,0.9100
34,,-0.2525,0.1625
35,,-0.1325,1.4050
36,,-0.3488,-0.6375
37,,-0.38,-0.7375
38,,-0.345,-0.69
39,,-0.45,-0.695
40,,-0.435,-0.8137
41,,-0.42,-0.8825
42,,-0.4075,-0.8675
43,,-0.3975,-0.7775
44,,-0.4025,-0.58
45,,-0.3125,-0.5125
46,,-0.3375,-0.54
47,,-0.305,-0.56
48,,-0.2163,-0.6225
