"LADDONIA MO - MFA - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.55,-0.1175,-0.4025,0.0125,-0.3925,0.1300
2,-0.55,-0.28,-0.405,0.0800,-0.3525,0.2775
3,-0.555,-0.2875,-0.5025,0.0300,-0.355,0.0500
4,-0.55,-0.345,-0.505,0.0300,-0.3525,-0.35
5,-0.5075,-0.35,-0.5075,-0.0475,-0.25,-0.2125
6,-0.505,-0.3425,-0.5075,-0.04,-0.1475,-0.35
7,-0.505,-0.4525,-0.5025,-0.045,-0.1075,-0.3525
8,-0.505,-0.45,-0.5075,-0.0575,-0.1075,-0.1825
9,-0.53,-0.5525,-0.6075,-0.104,-0.2525,-0.185
10,-0.45,-0.5525,-0.5075,-0.0575,-0.2275,-0.18
11,-0.345,-0.6075,-0.5,-0.065,-0.15,-0.3025
12,-0.455,-0.6,-0.3538,-0.1113,-0.1575,-0.2
13,-0.4475,-0.5525,-0.3025,-0.15,-0.1075,-0.2025
14,-0.5,-0.3775,-0.3075,-0.1575,-0.055,-0.1725
15,-0.5,-0.4775,-0.2725,-0.0675,-0.05,-0.1775
16,-0.5025,-0.425,-0.2575,-0.27,-0.025,-0.1763
17,-0.5275,-0.32,-0.2225,-0.37,-0.025,-0.0425
18,-0.4075,-0.2775,-0.2025,-0.3025,-0.0225,-0.0475
19,-0.405,-0.3075,-0.206,-0.3025,0.0475,-0.0425
20,-0.3525,-0.3113,-0.2013,-0.325,0.0500,-0.04
21,-0.4575,-0.2225,-0.1575,-0.1775,0.0975,-0.245
22,-0.45,-0.22,-0.1575,-0.1975,0.0950,-0.215
23,-0.4025,-0.225,-0.1075,-0.2,0.1000,-0.1
24,-0.4025,-0.225,-0.1,-0.165,0.0925,-0.1275
25,-0.4375,-0.2425,-0.0975,-0.055,0.0625,0.4425
26,-0.305,-0.12,-0.2575,-0.0475,0.2625,0.5950
27,-0.305,-0.1025,-0.2575,0.0175,0.2475,0.5975
28,-0.325,-0.1075,-0.1875,0.0125,0.2513,
29,-0.4,-0.305,-0.16,-0.035,0.3525,
30,-0.475,-0.3475,-0.14,0.1750,0.2150,
31,-0.475,-0.235,-0.1675,0.1550,0.1950,
32,-0.4275,-0.3425,-0.135,0.0863,0.2000,
33,-0.555,-0.5,-0.3,-0.145,0.0500,
34,-0.615,-0.5,-0.405,-0.3575,0.0475,
35,-0.6575,-0.6,-0.5,-0.355,0.0775,
36,-0.6525,-0.61,-0.655,-0.355,0.0213,-0.3575
37,-0.6075,-0.505,-0.6525,-0.4075,0.0500,-0.6575
38,-0.6075,-0.6025,-0.5525,-0.395,0.0950,-0.35
39,-0.6,-0.6075,-0.5025,-0.455,-0.1,-0.355
40,-0.5075,-0.6413,-0.505,-0.5,0.0450,-0.5288
41,,-0.625,-0.6025,-0.555,0.0600,-0.6025
42,,-0.405,-0.505,-0.4,0.0925,-0.5075
43,,-0.4,-0.4525,-0.4075,0.0925,-0.5075
44,,-0.405,-0.3538,-0.5025,0.0975,-0.5
45,,-0.405,-0.3075,-0.55,0.0575,-0.3025
46,,-0.55,-0.3025,-0.46,0.0225,-0.25
47,,-0.55,-0.3,-0.4575,0.0950,-0.3
48,,-0.55,-0.305,-0.4575,0.0487,-0.3275
