"LAMAR     MO - MFA - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.75,-0.7975,-0.8025,-0.4475,-0.6025,-0.45
2,-0.75,-0.8,-0.805,-0.45,-0.6025,-0.4525
3,-0.745,-0.7975,-0.8025,-0.45,-0.575,-0.34
4,-0.75,-0.8,-0.805,-0.45,-0.6025,-0.52
5,-0.7975,-0.9,-0.7475,-0.4975,-0.56,-0.2725
6,-0.805,-0.9025,-0.7475,-0.5,-0.5475,-0.45
7,-0.745,-0.9025,-0.7525,-0.505,-0.5475,-0.4525
8,-0.745,-0.8,-0.8475,-0.4975,-0.5475,-0.5525
9,-0.92,-1.0025,-0.8475,-0.494,-0.4425,-0.405
10,-0.92,-0.8425,-0.8475,-0.4975,-0.4475,-0.41
11,-0.745,-0.8975,-0.85,-0.495,-0.4,-0.4025
12,-0.745,-0.9,-0.8488,-0.5013,-0.3975,-0.3
13,-0.7475,-0.9025,-0.8525,-0.5,-0.3975,-0.3025
14,-0.75,-0.8975,-0.8475,-0.4975,-0.405,-0.2325
15,-0.75,-0.8975,-0.8525,-0.4075,-0.4,-0.1975
16,-0.7525,-0.895,-0.8475,-0.5,-0.38,-0.1862
17,-0.9275,-1,-0.9025,-0.65,-0.355,-0.1025
18,-0.8075,-0.9875,-0.9525,-0.6525,-0.3525,-0.0975
19,-0.855,-0.7475,-0.946,-0.6525,-0.3525,-0.0525
20,-0.7525,-0.7513,-0.9513,-0.645,-0.35,-0.05
21,-0.7475,-0.7525,-0.5975,-0.7475,-0.3425,-0.355
22,-0.75,-0.75,-0.5975,-0.6975,-0.355,-0.375
23,-0.7525,-0.755,-0.5975,-0.7,-0.35,-0.22
24,-0.7525,-0.745,-0.6,-0.71,-0.1475,-0.2375
25,-0.8975,-0.5825,-0.6575,-0.685,-0.3175,0.4125
26,-0.865,-0.58,-0.5975,-0.5775,-0.0775,0.2450
27,,-0.5525,-0.5975,-0.5125,-0.2525,0.4475
28,-0.8,-0.5475,-0.5975,-0.5375,-0.2487,0.2775
29,-0.75,-0.595,-0.6,-0.525,,1.1350
30,-0.755,-0.5475,-0.6,-0.495,-0.185,0.9950
31,-0.745,-0.555,-0.5975,-0.495,-0.195,-0.3175
32,-0.7475,-0.5525,-0.6,-0.6637,-0.1,-0.1175
33,,-0.7,,-0.395,-0.25,
34,-0.705,-0.7,-0.645,-0.7475,-0.2525,
35,-0.6975,-0.7,-0.65,-0.745,-0.2625,
36,-0.7025,-0.7,-0.655,-0.745,-0.2487,
37,-0.7975,-0.695,-0.6525,-0.7475,-0.75,
38,-0.7975,-0.7025,-0.6525,-0.745,-0.515,-0.8
39,-0.8,-0.6975,-0.7525,-0.755,-0.52,-0.805
40,-0.7975,-0.7525,-0.745,-0.75,-0.435,-0.8538
41,,,-1.0025,,-0.47,-0.9025
42,,,-1.005,,-0.4475,-0.7675
43,,,-1.0025,-0.8975,-0.4475,-0.7975
44,,,-0.9988,-0.9025,-0.4525,-0.8
45,,-0.805,-0.8975,-0.8,-0.5525,-0.6925
46,,-0.8,-0.9025,-0.8,-0.5775,-0.7
47,,-0.8,-0.8,-0.7975,-0.545,-0.7
48,,-0.8,-0.805,-0.7975,-0.5013,-0.6825
