"LEXINGTON MO - RIVER VALLEY AGRI SERVICE - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.65,-0.5075,-0.6025,-0.1975,-0.3525,
2,-0.65,-0.6,-0.595,-0.2,-0.4025,
3,-0.655,-0.5475,-0.6525,-0.2,-0.325,
4,-0.65,-0.55,-0.655,-0.15,-0.3525,
5,,-0.55,-0.6475,-0.1475,-0.36,
6,,-0.5525,-0.6475,-0.15,-0.2475,
7,,-0.5525,-0.6225,-0.205,-0.1475,
8,,-0.55,-0.6175,-0.2075,-0.1475,
9,,-0.6525,-0.6475,-0.264,-0.2125,-0.0025
10,,-0.7025,-0.6475,-0.2675,-0.2175,0.0525
11,,-0.6975,-0.65,-0.265,-0.22,0.0475
12,,-0.7,-0.6238,-0.3013,-0.1975,0.0500
13,-0.5975,-0.6025,-0.5525,-0.3,-0.1475,-0.055
14,-0.6,-0.5475,-0.5475,-0.3475,-0.155,-0.075
15,-0.6,-0.4975,-0.5525,-0.2575,-0.15,-0.12
16,-0.6025,-0.445,-0.4475,-0.4,-0.13,-0.1375
17,-0.7275,-0.56,-0.5525,-0.45,-0.175,0.5625
18,,-0.5575,-0.5525,-0.5025,-0.1725,0.3350
19,,-0.4775,-0.496,-0.4525,-0.1725,0.3975
20,,-0.4513,-0.4013,-0.395,-0.15,0.4100
21,-0.6775,,-0.3475,-0.3975,-0.0425,0.9850
22,-0.6,,-0.2975,-0.4975,-0.055,1.0350
23,-0.6025,,-0.2975,-0.5,-0.05,0.8325
24,-0.6025,,-0.3,-0.41,-0.0975,1.6325
25,,-0.2525,-0.3475,-0.385,-0.1475,1.9000
26,,,-0.3475,-0.2775,0.0725,1.4025
27,,,-0.3475,-0.2125,-0.1025,
28,,,-0.4475,-0.2375,0.0013,
29,-0.57,,-0.48,-0.275,0.0825,
30,-0.575,-0.4475,-0.48,-0.245,0.1650,-0.72
31,-0.575,,-0.4675,-0.145,0.0950,-0.635
32,-0.5675,-0.5775,-0.31,-0.2575,-0.05,-0.6538
33,,-0.7,-0.5,-0.045,-0.2,-0.6525
34,,-0.85,-0.495,-0.0975,-0.2025,-0.5775
35,,-0.85,-0.55,-0.295,-0.2625,-0.4975
36,,-0.85,,,-0.3975,-0.4
37,-0.6975,-0.845,-0.8025,-0.6975,-0.5,-0.3925
38,-0.6975,-0.8525,-0.7525,-0.695,-0.445,-0.38
39,-0.65,-0.8475,-0.7525,-0.695,-0.45,-0.38
40,-0.5975,-0.8525,-0.745,-0.7,-0.405,-0.41
41,,,-0.8525,-0.795,-0.32,
42,,,-0.855,-0.8,-0.2475,
43,,,-0.7525,-0.6975,-0.2475,
44,,,-0.6738,-0.6775,-0.2025,
45,,-0.595,-0.6475,-0.6,-0.2025,
46,,-0.6,-0.6025,-0.6,-0.2275,
47,,-0.6,-0.55,-0.5975,-0.195,
48,,-0.6,-0.505,-0.5975,-0.2263,
