"LOUISIANA MO - BUNGE NORTH AMERICA - Soybeans Basis"
"Week
","2019
","2018
","2017
"
1,-0.55,-0.2075,
2,,-0.21,
3,,-0.2375,
4,,-0.26,
5,,-0.27,
6,,,
7,,-0.3525,
8,,-0.3,
9,,-0.3925,
10,,-0.5225,
11,-0.385,-0.4875,
12,-0.485,-0.48,
13,-0.4875,-0.2625,
14,-0.45,-0.1975,
15,-0.47,-0.3475,
16,-0.3025,-0.275,
17,-0.3775,,
18,-0.3275,-0.1975,
19,-0.315,-0.2175,
20,-0.3075,-0.2713,
21,-0.3275,-0.3525,
22,-0.25,-0.34,
23,-0.2225,-0.265,
24,-0.2125,-0.175,
25,-0.2675,,
26,-0.125,,
27,-0.125,,
28,-0.22,,
29,,,
30,-0.415,,
31,-0.255,,
32,-0.2975,,
33,-0.405,,
34,-0.575,,
35,-0.5475,-0.86,
36,-0.5025,-0.74,
37,-0.3775,-0.685,
38,-0.3675,-0.6025,
39,-0.32,-0.6375,
40,-0.2275,-0.5725,
41,,,
42,,,
43,,-0.33,
44,,-0.405,
45,,-0.505,
46,,-0.57,
47,,-0.65,
48,,-0.44,
