"MARSHALL MO - CENTRAL MISSOURI AGRISERVICE - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.75,-0.5075,-0.6325,-0.1975,-0.3525,0.0500
2,-0.75,-0.6,-0.595,-0.15,-0.3025,0.0475
3,-0.745,-0.5975,-0.6525,-0.15,-0.285,0.0600
4,-0.75,-0.55,-0.655,-0.15,-0.3025,0.0050
5,-0.6975,-0.55,-0.6475,-0.1475,-0.31,0.2275
6,-0.705,-0.5525,-0.6475,-0.15,-0.1975,-0.1
7,-0.695,-0.5525,-0.6225,-0.205,-0.1475,-0.1525
8,-0.655,-0.56,-0.6175,-0.1975,-0.1475,-0.1025
9,-0.7,-0.6625,-0.6975,-0.264,-0.1625,-0.155
10,-0.7,-0.7025,-0.6475,-0.2675,-0.1675,-0.07
11,-0.645,-0.6975,-0.65,-0.265,-0.17,-0.0025
12,-0.655,-0.7,-0.6238,-0.3025,-0.1675,0.0000
13,-0.6475,-0.7025,-0.5525,-0.3,-0.0975,0.0475
14,-0.65,-0.5475,-0.5475,-0.3475,-0.075,-0.1325
15,-0.65,-0.5475,-0.5525,-0.2575,-0.07,-0.1475
16,-0.6525,-0.445,-0.4475,-0.4,-0.05,-0.1813
17,-0.7675,-0.56,-0.5525,-0.45,-0.115,0.0475
18,-0.7475,-0.5575,-0.5025,-0.5025,-0.1225,0.1025
19,-0.745,-0.5575,-0.446,-0.4525,-0.1225,0.0975
20,-0.7525,-0.4513,-0.3763,-0.395,-0.12,0.1000
21,-0.6475,-0.4525,-0.3475,-0.3975,0.0075,-0.055
22,-0.6,-0.3,-0.2975,-0.4975,-0.005,-0.055
23,-0.6025,-0.255,-0.2975,-0.5,0.0000,-0.1
24,-0.6025,-0.195,-0.3,-0.39,-0.0475,-0.1375
25,-0.6375,-0.2525,-0.3475,-0.335,-0.1975,0.5625
26,-0.645,-0.25,-0.3475,-0.2275,0.0725,0.3350
27,-0.645,-0.2525,-0.3975,-0.1625,-0.0525,0.3975
28,-0.6,-0.2475,-0.3975,-0.1875,0.0763,0.3775
29,-0.57,-0.295,-0.5,-0.235,0.1025,1.0350
30,-0.575,-0.4875,-0.49,-0.145,0.2150,1.2450
31,-0.575,,-0.4675,-0.145,0.2050,0.8825
32,-0.5675,-0.5775,-0.36,-0.1887,0.0000,1.6825
33,-0.695,-0.7,-0.5,-0.045,-0.05,2.0000
34,-0.705,-0.85,-0.495,-0.0975,-0.1525,1.5025
35,-0.6975,-0.85,-0.65,-0.295,-0.2625,0.8950
36,-0.7025,-0.85,-0.755,-0.695,-0.4238,-0.5975
37,-0.6975,-0.845,-0.8025,-0.6975,-0.5,-0.5975
38,-0.6975,-0.8525,-0.7525,-0.695,-0.445,-0.6
39,-0.6,-0.8475,-0.7525,-0.695,-0.4,-0.595
40,-0.5975,-0.8913,-0.745,-0.7,-0.405,-0.6287
41,,-0.845,-0.8525,-0.805,-0.32,-0.6025
42,,-0.745,-0.855,-0.8,-0.2475,-0.4575
43,,-0.75,-0.7525,-0.6975,-0.1975,-0.4475
44,,-0.695,-0.6738,-0.7025,-0.2025,-0.33
45,,-0.695,-0.5975,-0.65,-0.2025,-0.3225
46,,-0.7,-0.6025,-0.6,-0.2275,-0.33
47,,-0.7,-0.55,-0.5975,-0.195,-0.33
48,,-0.7,-0.505,-0.5975,-0.2263,-0.3525
