"MARYVILLE MO - MFA AGRI SERVICES - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,,-0.7775,-0.8425,-0.4275,-0.4525,-0.27
2,-0.745,-0.78,-0.835,-0.43,-0.5625,-0.2225
3,-0.8,-0.7275,-0.8325,-0.43,-0.395,-0.23
4,-0.8175,-0.73,-0.835,-0.43,-0.4225,-0.305
5,-0.825,-0.68,,-0.4275,-0.41,-0.0925
6,-0.815,-0.6725,,-0.43,-0.2875,-0.39
7,-0.825,-0.7025,,-0.435,-0.2875,-0.4925
8,,-0.78,,-0.4275,-0.2875,-0.4225
9,,-0.8825,,-0.494,-0.3225,-0.435
10,,-0.8825,-0.9175,-0.4975,-0.3275,-0.41
11,,-0.8275,-0.92,-0.465,-0.33,-0.3225
12,,-0.83,-0.8688,-0.4613,-0.3275,-0.2
13,,-0.7525,,-0.45,-0.3275,-0.2125
14,,-0.6975,,-0.5775,-0.335,-0.2825
15,,-0.5975,,-0.4875,-0.33,
16,,-0.595,,-0.68,-0.31,
17,-0.6975,-0.6,-0.6525,-0.75,-0.335,
18,-0.695,-0.5975,-0.6525,-0.7525,-0.3325,
19,-0.705,,-0.646,-0.7525,-0.3325,
20,-0.7175,-0.6,-0.6513,-0.745,-0.33,
21,-0.72,-0.5025,-0.5975,-0.5575,-0.1725,
22,-0.7225,-0.5,-0.5975,-0.6775,-0.185,
23,-0.7225,-0.505,-0.5975,-0.68,-0.18,
24,-0.7475,-0.495,-0.5,-0.675,-0.1775,
25,-0.745,,-0.4875,-0.675,-0.2475,
26,-0.755,,-0.5475,-0.6775,-0.0775,
27,-0.75,,-0.5475,-0.6125,-0.2525,
28,,,-0.5475,-0.5675,-0.2475,
29,,,-0.63,-0.585,-0.0675,
30,,-0.5375,-0.63,-0.545,0.0850,
31,,,-0.6675,-0.545,0.0750,
32,-0.925,-0.6175,-0.485,-0.3837,0.1700,
33,-0.925,-0.78,-0.62,-0.145,-0.05,
34,-0.7975,-0.78,-0.615,-0.2475,-0.1725,-0.6475
35,-0.8025,-0.78,,-0.245,-0.1825,-0.685
36,-0.7975,-0.83,,,-0.2975,
37,-0.7975,-0.825,,,-0.54,
38,-0.8,-0.7825,,,-0.435,-0.83
39,-0.7475,-0.7775,,,-0.44,-0.825
40,,-0.8313,,,-0.435,-0.8688
41,,-0.875,,-0.745,-0.45,-0.9325
42,,-0.745,-1.005,-0.9,-0.2475,-0.6775
43,,-0.75,-0.8525,-0.8975,-0.2475,-0.6475
44,,-0.755,,-0.7825,-0.2525,-0.55
45,,,-0.7675,-0.77,-0.3825,-0.5425
46,,,-0.7725,-0.77,-0.4075,-0.55
47,,,-0.75,-0.7675,-0.375,-0.5
48,,,-0.755,-0.7675,-0.3775,-0.5375
