"NOVELTY MO - ADM QUINCY - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.5,-0.2675,-0.4025,-0.0575,-0.1925,-0.08
2,-0.73,-0.36,-0.405,-0.08,-0.2525,-0.0825
3,,-0.3775,-0.5425,-0.08,,-0.12
4,-0.685,-0.43,-0.525,-0.09,-0.2325,-0.21
5,-0.5775,-0.42,-0.4375,-0.1175,-0.17,-0.0725
6,-0.535,-0.4325,-0.4275,-0.14,-0.1775,-0.2
7,-0.545,-0.4825,-0.3925,-0.125,-0.0475,-0.2025
8,-0.505,-0.42,-0.3975,-0.1575,-0.1175,-0.1925
9,-0.62,-0.5825,-0.4775,-0.154,-0.1525,-0.195
10,-0.52,-0.6425,-0.4775,-0.1575,-0.1875,-0.29
11,-0.475,-0.6275,-0.42,-0.175,-0.16,-0.2125
12,-0.565,0.6800,-0.3988,-0.2163,-0.0775,-0.11
13,-0.5275,-0.4825,-0.3825,-0.27,-0.0775,-0.2025
14,-0.5,-0.4175,-0.3275,-0.2575,-0.105,-0.2125
15,-0.52,-0.4575,-0.3325,-0.1675,-0.08,-0.1375
16,-0.4825,-0.395,-0.2775,-0.28,-0.02,-0.1663
17,-0.4875,-0.4,-0.3625,-0.37,-0.065,-0.1125
18,-0.4975,-0.4175,0.3075,-0.4125,0.0175,0.1025
19,-0.535,-0.4275,-0.286,-0.4425,0.0375,0.0175
20,-0.5225,-0.4413,-0.3063,-0.315,0.0700,0.0200
21,-0.4975,-0.4825,-0.2375,-0.3075,0.0975,-0.135
22,-0.49,-0.46,-0.3175,-0.3475,0.0250,-0.145
23,-0.4525,-0.425,-0.3375,-0.31,0.0400,-0.2
24,-0.4425,-0.365,-0.28,-0.185,-0.0375,-0.0475
25,-0.4175,-0.3625,-0.3775,-0.155,0.0225,0.7925
26,-0.315,-0.38,-0.5375,-0.1575,0.2425,0.7350
27,-0.305,-0.3725,-0.4175,-0.0925,0.0175,0.4375
28,-0.395,-0.3875,-0.3075,-0.0475,0.1213,0.3175
29,-0.56,-0.565,-0.33,0.0750,0.3725,1.3450
30,-0.565,-0.6175,-0.25,-0.065,0.0850,1.1850
31,-0.385,-0.505,-0.2375,-0.075,0.0150,1.0725
32,-0.4375,-0.5425,-0.265,-0.1187,0.2200,0.8325
33,-0.635,-0.67,-0.45,-0.115,,1.1500
34,-0.655,-0.62,-0.555,-0.2075,-0.0825,0.4025
35,-0.6875,-0.67,-0.58,-0.145,0.0375,1.6450
36,-0.6725,-0.62,-0.755,-0.515,-0.2788,-0.3975
37,,-0.735,,,-0.23,-0.5975
38,,-0.6025,,,-0.175,-0.35
39,,-0.6275,,,-0.27,-0.355
40,,-0.6963,,,-0.195,-0.6488
41,,-0.755,-0.6625,-0.735,-0.17,-0.7025
42,,-0.745,-0.655,-0.56,0.0025,-0.6875
43,,-0.75,-0.4325,-0.4975,,-0.5175
44,,-0.755,-0.5238,-0.5475,-0.1025,-0.32
45,,-0.615,-0.4475,-0.5,-0.1225,-0.2525
46,,-0.67,-0.4325,-0.4,-0.1175,-0.28
47,,-0.56,-0.35,-0.3975,-0.085,-0.3
48,,-0.58,-0.335,-0.3975,-0.0963,-0.3725
