"ORRICK MO - RIVER VALLEY MFA AGRI SERVICES - Soybeans Basis"
"Week
","2019
","2018
","2017
"
1,-0.65,-0.5075,
2,-0.65,-0.6,
3,-0.655,-0.5475,
4,-0.65,-0.55,
5,,-0.55,
6,,-0.5525,
7,,-0.5525,
8,,-0.55,
9,,-0.6525,
10,,-0.7025,
11,,-0.6975,
12,,-0.7,
13,-0.5975,-0.6025,
14,-0.6,-0.5475,
15,-0.6,-0.4975,
16,-0.6025,-0.445,
17,-0.7275,-0.56,
18,,-0.5575,
19,,-0.4775,
20,,-0.4513,
21,-0.6775,,
22,-0.6,,
23,-0.6025,,
24,-0.6025,,
25,,-0.2525,
26,,,
27,,,
28,,,
29,-0.57,,
30,-0.575,-0.4475,
31,-0.575,,
32,-0.5675,-0.5775,
33,,-0.7,
34,,-0.85,
35,,-0.85,
36,,-0.85,
37,-0.6975,-0.845,
38,-0.6975,-0.8525,
39,-0.65,-0.8475,
40,-0.5975,-0.8525,
41,,,
42,,,
43,,,
44,,,
45,,-0.595,
46,,-0.6,
47,,-0.6,
48,,-0.6,
