"PILOT GROVE MO - PILOT GROVE COOP ELEVATOR INC - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.75,-0.4075,-0.6525,-0.1975,-0.5225,0.0000
2,-0.74,-0.5,-0.645,-0.15,-0.5225,-0.0025
3,-0.745,-0.4975,-0.6525,-0.15,-0.515,0.0000
4,-0.75,-0.5,-0.645,-0.15,-0.3225,-0.1
5,-0.7575,-0.5,-0.6475,-0.2475,-0.32,0.0775
6,-0.745,-0.5025,-0.6475,-0.25,-0.3175,-0.1
7,-0.745,-0.5025,-0.6525,-0.245,-0.2475,-0.1025
8,-0.745,-0.49,-0.6475,-0.3475,-0.2475,-0.1025
9,-0.65,-0.6525,-0.7375,-0.294,-0.2025,-0.195
10,-0.65,-0.6525,-0.7375,-0.2975,-0.1975,-0.2
11,-0.645,-0.6475,-0.74,-0.305,-0.2,-0.1025
12,-0.645,-0.65,-0.6688,-0.3013,-0.2175,-0.1
13,-0.6475,-0.6525,-0.6825,-0.4,-0.2175,-0.1025
14,-0.6,-0.4975,-0.6775,-0.3475,-0.215,-0.1025
15,-0.6,-0.4975,-0.6825,-0.2575,-0.22,-0.1475
16,-0.6025,-0.495,-0.6775,-0.45,-0.185,-0.1963
17,-0.6475,-0.55,-0.5225,-0.55,-0.145,-0.0525
18,-0.6575,-0.5475,-0.5225,-0.5525,-0.1525,-0.0475
19,-0.645,-0.5475,-0.526,-0.5525,-0.2025,-0.0525
20,-0.6475,-0.5513,-0.5212,-0.545,-0.2,0.0000
21,-0.6475,-0.5525,-0.5175,-0.5475,-0.1025,0.0050
22,-0.65,-0.3,-0.3975,-0.4475,-0.095,0.0050
23,-0.6425,-0.295,-0.3975,-0.55,-0.1,-0.1
24,-0.4925,-0.295,-0.4,-0.48,-0.1975,-0.0975
25,-0.5075,-0.3325,,-0.385,-0.0475,0.5325
26,-0.515,-0.33,-0.3975,-0.2775,-0.0775,0.4050
27,-0.515,-0.3325,-0.3975,-0.2125,-0.2525,0.3975
28,-0.525,-0.2975,-0.4975,-0.2375,-0.0938,0.4025
29,-0.57,-0.345,-0.53,-0.275,-0.0075,1.2150
30,-0.575,-0.3375,-0.49,-0.225,-0.085,1.0550
31,-0.575,-0.435,-0.5175,-0.245,-0.085,0.5625
32,-0.5675,-0.4775,-0.505,-0.3138,0.0000,0.7625
33,-0.695,-0.65,-0.54,-0.085,-0.2,1.3800
34,-0.715,,-0.545,-0.6475,-0.2025,1.3825
35,-0.6975,-0.8,-0.65,-0.645,-0.2225,1.3850
36,-0.7025,-0.8,-0.645,-0.645,-0.3988,-0.5975
37,-0.6975,-0.795,-0.8025,-0.6975,-0.5,-0.5975
38,-0.6975,-0.8025,-0.8025,-0.685,-0.445,-0.65
39,-0.6,-0.7975,-0.7525,-0.725,-0.45,-0.645
40,-0.5975,-0.8463,-0.795,-0.75,-0.345,-0.6737
41,,-0.805,-0.8625,-0.845,-0.36,-0.7625
42,,-0.805,-0.865,-0.85,-0.3175,-0.7575
43,,-0.7,-0.7525,-0.7475,-0.2475,-0.6475
44,,-0.695,-0.6988,-0.7525,-0.2525,-0.45
45,,-0.695,-0.5975,-0.65,-0.2525,-0.4525
46,,-0.7,,-0.65,-0.2775,-0.45
47,,-0.7,-0.6,-0.5975,-0.195,-0.45
48,,-0.65,-0.595,-0.5975,-0.1963,-0.4775
