"RHINELAND MO - RHINELAND GRAIN - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.67,-0.2675,-0.2625,0.0025,-0.1425,0.2700
2,-0.6,-0.33,-0.265,0.0000,-0.1025,0.3775
3,-0.695,-0.3375,-0.4725,0.0600,-0.085,0.3200
4,-0.32,-0.38,-0.395,0.0300,-0.0725,0.0100
5,-0.5675,-0.36,-0.3875,-0.1175,-0.1,0.0175
6,-0.575,-0.3725,-0.2875,-0.12,-0.0575,-0.05
7,-0.475,-0.4525,-0.2325,-0.095,-0.0075,0.0975
8,-0.345,-0.39,-0.2375,-0.1975,0.0225,-0.0525
9,-0.44,-0.4725,-0.3775,-0.244,-0.1625,-0.155
10,-0.48,-0.4625,-0.3775,-0.1975,-0.1575,-0.23
11,-0.505,-0.6075,-0.37,-0.195,-0.19,-0.1025
12,-0.645,-0.57,-0.3588,-0.2813,-0.6175,0.0000
13,-0.5875,-0.3925,-0.4225,-0.28,-0.1075,-0.0825
14,-0.53,-0.4075,-0.3275,-0.2575,-0.145,-0.1025
15,-0.5,-0.4375,-0.3225,-0.1575,-0.16,-0.0475
16,-0.5025,-0.565,-0.2375,-0.24,-0.075,-0.0563
17,-0.4675,-0.38,-0.3225,-0.45,0.0050,0.0575
18,-0.4175,-0.3975,-0.3025,-0.3725,0.0575,0.1025
19,-0.415,,-0.226,-0.3625,-0.0125,0.0975
20,-0.4025,-0.2613,-0.2463,-0.275,0.0300,0.1000
21,-0.3675,-0.2825,-0.3475,-0.1675,0.0075,0.1050
22,-0.29,-0.28,-0.3375,-0.2375,0.0150,0.0050
23,-0.2825,-0.305,-0.3475,-0.24,0.0100,-0.05
24,-0.2825,-0.295,-0.29,-0.045,-0.0675,-0.0475
25,-0.2775,-0.2025,-0.3075,0.0350,0.0225,0.8525
26,-0.195,-0.2,-0.3675,0.0525,0.2225,0.8150
27,-0.195,-0.2025,-0.2175,0.1075,-0.0625,0.4975
28,-0.295,-0.2475,-0.1475,0.1325,0.0313,0.3275
29,,-0.305,-0.16,0.1250,-0.2175,1.5350
30,-0.385,-0.4475,-0.1,0.1250,-0.095,1.2750
31,-0.235,-0.485,,0.1350,-0.075,1.4825
32,-0.2275,-0.3925,-0.105,0.1063,0.0700,0.8825
33,-0.495,-0.85,-0.26,-0.025,-0.11,0.2500
34,-0.755,-0.8,-0.345,0.0625,,0.3025
35,-0.6475,-0.75,-0.33,-0.025,,
36,-0.6025,-0.85,-0.605,-0.315,,-0.4475
37,,-0.745,-0.6625,-0.3475,,-0.5975
38,,-0.7025,-0.5125,-0.355,,-0.25
39,,-0.6975,-0.5625,-0.355,,-0.095
40,,-0.7213,-0.575,-0.44,,-0.3238
41,,-0.525,-0.6525,-0.325,,-0.4025
42,,-0.525,-0.415,-0.31,-0.0275,-0.3975
43,,-0.53,-0.3825,-0.3475,-0.0175,-0.3475
44,,-0.485,-0.4038,-0.4075,-0.0225,0.0500
45,,-0.585,-0.4075,-0.32,-0.0125,0.0975
46,,-0.65,-0.3925,-0.17,-0.0375,0.0500
47,,-0.45,-0.34,-0.1775,0.0050,-0.05
48,,-0.45,-0.345,-0.1675,-0.0563,-0.0875
