"RICHMOND MO - RAY CARROLL GRAIN - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-1.11,-0.8575,-0.9925,-0.6775,-0.7225,-0.49
2,-1.11,-0.95,-0.985,-0.65,-0.7225,-0.4925
3,-1.115,-0.8975,-1.0025,-0.68,-0.715,-0.49
4,-1.1,-0.875,-1.025,-0.68,-0.7125,-0.485
5,-1.0875,-0.85,-1.0175,-0.6775,-0.7,-0.3525
6,-1.075,-0.8725,-1.0375,-0.72,-0.6775,-0.56
7,-1.065,-0.8825,-1.0025,-0.725,-0.5575,-0.5325
8,-1.185,-0.9,-0.9975,-0.6975,-0.6775,-0.7525
9,-1.13,-0.9725,-1.0975,-0.754,-0.7325,-0.565
10,-1.08,-0.9725,-1.0975,-0.7675,-0.6675,-0.57
11,-1.075,-0.9175,-1.05,-0.765,-0.67,-0.5725
12,-1.085,-0.91,-1.0338,-0.8213,-0.6675,-0.57
13,-1.0575,-0.8625,-1.0225,-0.83,-0.6475,-0.5725
14,-1.06,-0.8475,-1.0175,-0.8375,-0.635,-0.5725
15,-1.04,-0.8475,-1.0225,-0.8675,-0.65,-0.5675
16,-1.0425,-0.845,-0.9475,-0.98,-0.66,-0.6113
17,-1.0875,-0.92,-0.9925,-1.07,-0.595,-0.4825
18,-1.0375,-0.8875,-0.9925,-1.0625,-0.5825,-0.4575
19,-1.015,-0.8675,-0.926,-1.0325,-0.5825,-0.4325
20,-1.0025,-0.8513,-0.8813,-1.025,-0.58,-0.45
21,-0.9975,-0.8225,-0.8575,-1.0275,-0.5825,-0.585
22,-1,-0.77,-0.8575,-1.0775,-0.535,-0.545
23,-1.0025,-0.765,-0.8275,-1.03,-0.48,-0.42
24,-0.9725,-0.745,-0.79,-0.98,-0.6775,-0.4375
25,-1.0175,-0.8025,-0.8375,-0.855,-0.6575,0.2325
26,-0.885,-0.79,-0.8175,-0.8575,-0.7075,0.1250
27,-0.875,-0.7925,-0.8175,-0.7325,-0.7825,0.1175
28,-0.855,-0.7875,-0.8175,-0.6175,-0.7588,-0.1975
29,-0.89,-0.845,-0.87,-0.945,-0.4475,0.5850
30,-0.885,-0.8375,-0.88,-0.925,-0.435,0.1850
31,-0.885,,-0.9075,-0.875,-0.465,-0.3075
32,-0.8775,-1.0525,-0.845,-0.9438,-0.37,
33,-1.005,-1.2,-0.86,-0.725,-0.55,0.7000
34,-1.025,-1.21,-0.885,-0.7275,-0.5425,0.7025
35,-1.0075,-1.23,-0.91,-0.825,-0.7425,0.7050
36,-1.0025,-1.3,-0.935,-0.825,-0.7388,-0.7475
37,-0.9975,-1.295,-0.9425,-0.8475,,-0.7475
38,-0.9875,-1.2925,-0.9425,-0.835,,-0.75
39,-0.94,-1.2675,-0.9425,-0.855,,-0.725
40,-0.9275,-1.2113,-0.945,-0.85,,-0.7788
41,,-1.205,-1.0625,-0.935,-0.75,-0.8325
42,,-1.075,-1.065,-0.93,-0.7275,-0.8175
43,,-1.08,-1.0625,-0.9275,-0.6575,-0.7775
44,,-1.035,-0.9938,-0.9525,-0.6625,-0.75
45,,-1.005,-0.9175,-0.93,-0.6525,-0.7525
46,,-1,-0.9225,-0.93,-0.6975,-0.71
47,,-0.98,-0.88,-0.9275,-0.635,-0.68
48,,-0.98,-0.855,-0.9275,-0.6863,-0.68
