"SCOTT CITY MO - CONSOLIDATED GRAIN AND BARGE SCOTT - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.29,0.0425,,
2,-0.3,-0.09,,
3,-0.395,-0.0975,-0.0975,0.1725
4,-0.335,-0.11,-0.0375,0.1000
5,-0.2475,-0.19,0.0275,0.1350
6,-0.265,-0.1125,0.0225,0.0225
7,-0.255,-0.1325,-0.1375,-0.074
8,-0.145,0.1000,-0.1475,-0.1275
9,-0.21,-0.2325,-0.1,0.0150
10,-0.21,-0.3025,-0.1138,-0.0362
11,-0.395,-0.3475,-0.1125,
12,-0.395,-0.25,-0.0675,
13,-0.3675,-0.1525,-0.0525,
14,-0.29,-0.1275,0.0425,
15,-0.27,-0.1775,-0.0225,
16,-0.1525,-0.095,,
17,-0.1775,-0.06,0.0040,
18,-0.1575,-0.0475,0.0188,
19,-0.195,-0.0675,-0.0975,
20,-0.1425,0.0038,-0.0875,
21,-0.0875,-0.0925,-0.1675,
22,-0.06,-0.09,0.0200,0.0950
23,-0.1125,-0.055,-0.0375,0.2550
24,-0.1225,-0.005,-0.0975,0.3125
25,-0.2775,0.0075,-0.0375,0.3175
26,-0.245,-0.02,0.0625,0.2425
27,-0.155,-0.1225,0.0600,0.1550
28,-0.105,-0.0675,0.0800,0.2350
29,-0.33,-0.145,0.1325,0.2050
30,-0.155,-0.2275,0.1150,0.1213
31,-0.245,-0.365,,
32,-0.2875,-0.4525,-1.125,
33,,-0.62,-1.12,0.0750
34,-0.575,-0.73,-0.355,-0.045
35,-0.4375,-0.78,-1.1025,-0.0675
36,-0.4225,-0.63,-0.2925,-0.055
37,-0.3475,-0.615,-0.2725,-0.055
38,-0.3375,-0.5225,-0.345,-0.14
39,-0.22,-0.5475,-1.2025,
40,-0.0875,-0.4213,-0.265,
41,,-0.285,-0.1825,
42,,-0.225,-0.1338,
43,,-0.25,-0.2175,
44,,-0.265,-0.1725,
45,,-0.335,-0.1,
46,,-0.37,0.0250,
47,,-0.18,,
48,,-0.15,,
