"SHELBINA MO - ADM QUINCY - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.4,-0.2575,-0.3725,-0.0075,-0.2225,-0.06
2,-0.61,-0.38,-0.385,0.0100,-0.2725,-0.0625
3,-0.645,-0.3975,-0.5625,0.0100,,-0.1
4,-0.625,-0.435,-0.505,-0.08,-0.2625,-0.175
5,-0.5775,-0.44,,-0.1175,-0.2,-0.0625
6,-0.585,-0.4525,-0.3975,-0.1,-0.1975,-0.18
7,-0.555,-0.4325,-0.3425,-0.105,-0.0675,-0.1825
8,-0.415,-0.43,-0.3975,-0.1175,-0.1175,-0.1825
9,-0.51,-0.5425,-0.4875,-0.104,-0.1625,-0.175
10,-0.48,-0.6625,-0.4875,-0.1075,-0.2175,-0.27
11,-0.475,-0.6475,-0.44,-0.165,-0.18,-0.1325
12,-0.585,-0.63,-0.4188,-0.2363,-0.1075,-0.05
13,-0.5475,-0.5025,-0.4025,-0.29,-0.1075,-0.0925
14,-0.53,-0.4375,-0.3475,-0.2775,-0.135,-0.1125
15,-0.5,-0.4775,-0.3525,-0.1875,-0.13,-0.0275
16,-0.4225,-0.435,-0.2975,-0.28,-0.03,-0.0762
17,-0.3975,-0.38,-0.3825,-0.35,-0.075,0.0475
18,-0.3575,-0.3675,-0.2825,-0.4325,-0.0125,0.1325
19,-0.415,-0.3675,-0.256,-0.4025,0.0075,0.0675
20,-0.4475,-0.2863,-0.2463,-0.325,0.0400,0.0700
21,-0.3375,-0.3825,-0.2175,-0.2775,0.0675,-0.085
22,-0.37,-0.39,-0.2575,-0.3675,0.0250,-0.055
23,-0.3425,-0.345,-0.2775,-0.28,0.0400,-0.1
24,-0.2825,-0.275,-0.24,-0.085,-0.0275,0.0125
25,-0.2875,-0.2425,-0.3375,,0.0225,0.8225
26,-0.225,-0.26,-0.4175,-0.0775,0.2425,0.7650
27,-0.265,-0.2525,-0.2675,0.0175,0.1175,0.4675
28,-0.36,-0.2975,-0.1775,-0.0275,0.1463,0.3725
29,-0.52,-0.435,-0.2,0.0550,0.3525,1.4550
30,-0.395,-0.4575,-0.13,0.0750,0.0850,1.2450
31,-0.255,-0.415,-0.1075,0.0250,0.0750,1.3025
32,-0.3575,-0.4325,-0.18,-0.1037,0.2000,0.8325
33,-0.595,-0.56,-0.47,0.0650,,1.1500
34,-0.645,-0.51,-0.565,-0.3575,,0.4025
35,-0.6875,-0.56,-0.53,-0.165,,1.6450
36,-0.6425,-0.46,-0.775,-0.485,,-0.3975
37,-0.4975,-0.705,,,-0.48,-0.5975
38,-0.5075,-0.6225,-0.6225,,-0.475,-0.35
39,-0.45,-0.6575,-0.6225,,-0.48,-0.365
40,-0.3675,-0.7262,-0.665,,-0.485,-0.6488
41,,-0.585,-0.5725,-0.735,-0.17,-0.7325
42,,-0.465,-0.565,-0.73,-0.0775,-0.7175
43,,-0.47,-0.4625,-0.4975,-0.0375,-0.5475
44,,-0.475,-0.4238,-0.5175,-0.0625,-0.35
45,,-0.565,-0.4675,-0.44,-0.0325,-0.2825
46,,-0.66,-0.4225,-0.28,-0.0475,-0.31
47,,-0.5,-0.36,-0.2775,-0.015,-0.33
48,,-0.47,-0.325,-0.2875,-0.0163,-0.4025
