"SHELBINA MO - MFA - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.69,-0.3175,-0.4425,
2,-0.71,-0.39,-0.435,
3,-0.745,-0.4075,-0.5325,-0.1175
4,-0.72,-0.475,-0.555,-0.11
5,-0.6075,-0.49,-0.4775,-0.095
6,-0.615,-0.4425,-0.4775,-0.1175
7,-0.605,-0.5025,-0.4525,-0.134
8,-0.555,-0.43,-0.4175,-0.2075
9,-0.65,-0.5425,,-0.215
10,-0.56,-0.6925,-0.5675,-0.2712
11,-0.505,-0.6675,-0.45,-0.31
12,-0.605,-0.63,-0.4288,-0.3275
13,-0.5875,-0.6525,-0.4125,-0.2375
14,-0.56,-0.4575,-0.4075,-0.3
15,-0.57,-0.4975,-0.3525,-0.45
16,-0.5325,-0.465,-0.3075,-0.4625
17,-0.5575,-0.45,-0.3825,-0.4325
18,-0.5575,-0.4475,-0.3025,-0.335
19,-0.565,-0.4375,-0.256,-0.2775
20,-0.5575,-0.4863,-0.2813,-0.3675
21,-0.4975,-0.5025,-0.2475,-0.32
22,-0.43,-0.49,-0.2775,-0.095
23,-0.3825,-0.465,-0.3075,-0.085
24,-0.4025,-0.415,-0.27,-0.0775
25,-0.4475,-0.3725,-0.3675,-0.1225
26,-0.325,-0.39,-0.4575,-0.0775
27,-0.325,-0.4825,-0.3675,-0.025
28,-0.43,-0.5075,-0.2275,0.0250
29,-0.52,-0.655,-0.31,0.0250
30,-0.575,-0.6175,-0.24,-0.0187
31,-0.385,0.2850,-0.2275,0.0650
32,-0.4475,-0.7425,-0.265,-0.3675
33,-0.635,-0.91,-0.47,-0.365
34,-0.695,-0.96,-0.565,-0.485
35,-0.7175,-0.78,-0.59,-0.4775
36,-0.7325,-0.78,-0.765,-0.515
37,-0.6875,-0.695,-0.7225,-0.555
38,-0.5075,-0.7625,-0.6225,-0.78
39,-0.44,-0.7575,-0.6225,-0.745
40,-0.4375,-0.7863,-0.665,-0.57
41,,-0.685,-0.6225,-0.5375
42,,-0.505,-0.615,-0.5225
43,,-0.61,-0.5125,-0.51
44,,-0.615,-0.4488,-0.41
45,,-0.705,-0.5275,-0.4075
46,,-0.77,-0.5125,-0.4075
47,,-0.63,-0.44,
48,,-0.61,-0.395,
