"SHERIDAN MO - MFA - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.82,-0.8575,-0.9525,-0.6475,-0.5625,-0.37
2,-0.82,-0.9,-0.925,-0.57,-0.5725,-0.3225
3,-0.835,-0.8675,-1.0525,-0.57,-0.575,-0.34
4,-0.82,-0.87,-1.025,-0.57,-0.5225,-0.275
5,-0.8575,-0.87,-1.0175,-0.5675,-0.49,-0.2325
6,-0.845,-0.8525,,-0.57,-0.3975,-0.49
7,-0.845,-0.9325,-1.0225,-0.575,-0.3975,-0.5725
8,-0.845,-0.93,-1.0175,-0.5775,-0.4575,-0.5225
9,-0.85,-1.0325,-1.0975,-0.604,-0.5125,-0.545
10,-0.85,-1.0325,-0.9975,-0.5975,-0.4975,-0.42
11,-0.845,-0.9775,-1.01,-0.605,-0.5,-0.4225
12,-0.845,-0.93,-0.8988,-0.6513,-0.4475,-0.41
13,-0.7275,-0.9025,-0.8625,-0.65,-0.4175,-0.3225
14,-0.73,-0.8275,-0.7975,-0.7175,-0.405,-0.3225
15,-0.73,-0.7475,-0.8425,-0.6975,-0.43,-0.2275
16,-0.7325,-0.705,-0.6975,-0.82,-0.425,-0.2262
17,-0.8575,-0.76,-0.8025,-0.84,-0.415,-0.0825
18,-0.7375,-0.7275,-0.8025,-0.8725,-0.4125,-0.0375
19,-0.725,-0.6775,-0.706,-0.8225,-0.3625,-0.0225
20,-0.7375,-0.6663,-0.7013,-0.775,-0.33,-0.1
21,-0.7675,-0.5825,-0.6675,-0.7075,-0.2225,-0.285
22,-0.77,-0.6,-0.6175,-0.8375,-0.225,-0.245
23,-0.7625,-0.505,-0.6175,-0.73,-0.25,-0.14
24,-0.6925,-0.505,-0.59,-0.655,-0.3775,-0.1075
25,-0.7975,-0.5725,,-0.585,-0.3975,0.5625
26,-0.795,-0.5,-0.6975,-0.5475,-0.2675,0.4750
27,-0.795,-0.4525,-0.6575,-0.5325,-0.3525,0.4775
28,-0.8,-0.4575,-0.5475,-0.5575,-0.3888,0.2825
29,-0.85,-0.665,-0.71,-0.505,-0.0775,1.1150
30,-0.845,-0.6975,-0.7,-0.395,-0.065,0.8050
31,-0.845,-0.785,-0.6175,-0.435,-0.095,1.0125
32,-0.8475,-0.8775,-0.585,-0.4788,-0.05,
33,-0.965,-1.05,-0.83,-0.235,-0.25,-0.82
34,-0.995,-0.9,-0.825,-0.2375,-0.4025,-0.9175
35,-0.8675,-0.9,-0.9,-0.425,-0.4725,
36,-0.8525,-0.9,-0.955,-1.015,-0.5488,-0.9175
37,-0.8475,-0.895,-0.9425,-0.9075,-0.7,-0.9175
38,-0.8475,-0.8525,-0.9825,-0.905,-0.705,-0.92
39,-0.85,-0.8475,-0.8625,-0.785,-0.6,-0.875
40,-0.8475,-0.8813,-0.855,-0.8,-0.455,-0.9488
41,,-0.975,-1.0525,-0.905,-0.27,-0.9025
42,,-0.755,-1.055,-0.91,-0.3475,-0.7975
43,,-0.75,-1.0325,-0.9375,-0.3475,-0.7675
44,,-0.755,-0.9138,-0.9125,-0.5225,-0.67
45,,-0.695,-0.8975,-0.96,-0.5225,-0.5925
46,,-0.7,-0.9025,-1.01,-0.5675,-0.59
47,,-0.7,-0.68,-0.9475,-0.545,-0.59
48,,-0.7,-0.905,-0.9175,-0.5963,-0.6275
