"TRENTON   MO - MFA - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
","2015
","2014
"
1,-0.85,-0.7075,-0.8525,-0.3975,-0.6025,-0.32
2,-0.85,-0.8,-0.805,-0.4,-0.6025,-0.3525
3,-0.845,-0.7975,-0.9025,-0.4,-0.625,-0.32
4,-0.85,-0.75,-0.905,-0.4,-0.5725,-0.385
5,-0.8975,-0.7,-0.8975,-0.3975,-0.53,-0.1725
6,-0.905,-0.7025,-0.8975,-0.4,-0.4675,-0.41
7,-0.845,-0.7025,-0.9025,-0.355,-0.4475,-0.5425
8,-0.745,-0.7,-0.8475,-0.3475,-0.4375,-0.4925
9,-0.75,-0.8025,-0.9575,-0.404,-0.5225,-0.635
10,-0.75,-0.8025,-0.9475,-0.3975,-0.4775,-0.58
11,-0.745,-0.7975,-0.9,-0.405,-0.42,-0.4825
12,-0.695,-0.8,-0.8738,-0.4263,-0.4175,-0.33
13,-0.7475,-0.9025,-0.8525,-0.45,-0.3975,-0.2625
14,-0.7,-0.7475,-0.7975,-0.4475,-0.345,-0.3425
15,-0.7,-0.7475,-0.8025,-0.4075,-0.4,-0.3075
16,-0.7025,-0.745,-0.6975,-0.6,-0.335,-0.3213
17,-0.8475,-0.95,-0.8525,-0.6,-0.355,-0.1325
18,-0.6475,-0.9375,-0.7525,-0.6525,-0.3525,-0.1275
19,-0.645,,-0.696,-0.6525,-0.3225,-0.0525
20,-0.7025,-0.6013,-0.6513,-0.645,-0.3,-0.13
21,-0.7975,-0.7025,-0.7475,-0.6475,-0.2225,-0.435
22,-0.8,-0.55,-0.6475,-0.6975,-0.235,-0.405
23,-0.8025,-0.555,-0.5475,-0.68,-0.2,-0.3
24,-0.8025,-0.545,-0.55,-0.605,-0.1975,-0.3175
25,-0.7975,-0.5525,-0.5975,-0.495,-0.2975,0.4625
26,-0.805,-0.55,-0.6475,-0.5475,-0.1275,0.3050
27,-0.695,-0.5525,-0.6475,-0.4925,-0.2525,0.3575
28,-0.7,-0.5475,-0.6475,-0.5175,-0.2588,0.2125
29,-0.67,-0.645,-0.83,-0.435,-0.0975,1.1050
30,-0.675,-0.6575,-0.63,-0.395,0.0050,1.0650
31,-0.675,-0.685,-0.6675,-0.395,-0.005,0.6525
32,-0.6675,-0.6775,-0.635,-0.4387,0.0900,1.3325
33,-0.895,-0.85,-0.75,-0.195,-0.11,1.9500
34,-0.805,-0.85,-0.745,-0.2475,-0.3125,0.0025
35,-0.7975,-0.85,-0.75,-0.245,-0.4625,-0.005
36,-0.8025,-0.85,-0.755,-0.555,-0.4988,-0.5975
37,-0.8475,-0.845,-0.8025,-0.6475,-0.55,-0.8975
38,-0.8475,-0.8025,-0.8025,-0.695,-0.495,-0.9
39,-0.8,-0.7975,-0.8025,-0.695,-0.45,-0.845
40,-0.7975,-0.8513,-0.795,-0.78,-0.445,-0.9187
41,,-0.905,-0.9525,-0.905,-0.42,-0.9325
42,,-0.645,-0.905,-0.95,-0.2975,-0.8575
43,,-0.65,-0.9025,-0.9475,-0.3475,-0.7475
44,,-0.655,-0.8988,-0.9525,-0.4025,-0.75
45,,-0.755,-0.6975,-0.85,-0.4025,-0.7425
46,,-0.65,-0.7025,-0.85,-0.4275,-0.7
47,,-0.7,-0.7,-0.8475,-0.395,-0.65
48,,-0.7,-0.695,-0.8475,-0.3963,-0.6675
