"TRENTON MO - GFG AG SERVICES - Soybeans Basis"
"Week
","2019
","2018
","2017
","2016
"
1,-0.83,-0.7075,-0.8025,
2,-0.8,-0.7,-0.805,
3,-0.805,-0.6975,-0.8525,-0.3475
4,-0.8,-0.685,-0.855,-0.35
5,-0.7475,-0.67,,-0.355
6,-0.705,-0.6725,-0.8475,-0.3575
7,-0.695,-0.6725,-0.8525,-0.404
8,-0.655,-0.67,-0.8475,-0.3975
9,-0.73,-0.7725,-0.9475,-0.405
10,-0.67,-0.7725,-0.9075,-0.4213
11,-0.665,-0.7675,-0.9,-0.42
12,-0.665,-0.78,-0.7988,-0.4175
13,-0.7475,-0.7025,-0.7125,-0.4575
14,-0.7,-0.6975,-0.6975,-0.6
15,-0.7,-0.6475,-0.6825,-0.65
16,-0.7025,-0.655,-0.6775,-0.6525
17,-0.8275,-0.8,-0.6925,-0.6525
18,-0.6575,-0.6975,-0.6525,-0.655
19,-0.655,-0.5975,-0.646,-0.5975
20,-0.7025,-0.5263,-0.6012,-0.6475
21,-0.7475,-0.5025,-0.5775,-0.63
22,-0.75,-0.5,-0.5475,-0.555
23,-0.8025,-0.505,-0.5475,-0.505
24,-0.8025,-0.455,-0.53,-0.4975
25,-0.8375,-0.5025,,-0.4125
26,-0.805,-0.5,-0.5975,-0.4375
27,-0.705,-0.4525,-0.5975,-0.435
28,-0.7,-0.4475,-0.6075,-0.375
29,-0.67,-0.645,-0.69,-0.395
30,-0.675,-0.5975,-0.63,-0.4137
31,-0.675,-0.635,-0.6475,-0.195
32,-0.6675,-0.6775,-0.585,-0.2475
33,-0.805,-0.85,-0.7,-0.255
34,-0.825,-0.85,-0.705,-0.555
35,-0.7975,-0.8,-0.7,-0.6475
36,-0.8525,-0.85,-0.805,-0.645
37,-0.7975,-0.805,-0.8025,-0.705
38,-0.7975,-0.7525,-0.8025,-0.75
39,-0.8,-0.7475,-0.7825,-0.855
40,-0.7975,-0.8025,-0.755,-0.95
41,,-0.905,-0.8825,-0.9475
42,,-0.655,-0.885,-0.9525
43,,,-0.8625,-0.82
44,,-0.655,-0.7688,-0.82
45,,-0.655,-0.6975,-0.8175
46,,-0.7,-0.7025,-0.8175
47,,-0.7,-0.7,
48,,-0.7,-0.705,
